"Table Name","Table Description","Column Name","Column Description","Data Type",Sensitive
CENS_ALF_20240524,"This table contains details of the linkage for CENS",ALF2_E,"Anomalised linkage field 2.",BIGINT,false
CENS_ALF_20240524,"This table contains details of the linkage for CENS",AVAIL_FROM_DT,"Date when data is made available i.e. date of loading",DATE,false
CENS_ALF_20240524,"This table contains details of the linkage for CENS",GENDER,Gender,VARCHAR,false
CENS_ALF_20240524,"This table contains details of the linkage for CENS",LINKAGE_DATE,"Linkage date",TIMESTAMP,false
CENS_ALF_20240524,"This table contains details of the linkage for CENS",PROJECT_NAME,-,VARCHAR,false
CENS_ALF_20240524,"This table contains details of the linkage for CENS",SOURCE_DATASET_NAME,-,VARCHAR,false
CENS_ALF_20240524,"This table contains details of the linkage for CENS",UNIQUE_ID_SOURCE_E,-,BIGINT,false
CENS_ALF_20240524,"This table contains details of the linkage for CENS",UNIQUE_ID_SPINE_E,-,BIGINT,false
CENS_ALF_20240524,"This table contains details of the linkage for CENS",WEEK_OF_BIRTH,"Week of Birth",TIMESTAMP,false
COMMUNAL_ESTABLISHMENT_20230330,"This table contains details of Communal Establishment",AVAIL_FROM_DT,"Date when data is made available i.e. date of loading",DATE,false
COMMUNAL_ESTABLISHMENT_20230330,"This table contains details of Communal Establishment",CE_ID_E,"Communal Establishment ID",BIGINT,false
COMMUNAL_ESTABLISHMENT_20230330,"This table contains details of Communal Establishment",CE_MANAGEMENT_TYPE,"Medical and care establishment: NHS: Mental health hospital or unit (including secure units)",INTEGER,false
COMMUNAL_ESTABLISHMENT_20230330,"This table contains details of Communal Establishment",CE_RECORD_KEY,"Record Key",INTEGER,false
COMMUNAL_ESTABLISHMENT_20230330,"This table contains details of Communal Establishment",NATURE_OF_ESTABLISHMENT,"Establishment Nature",INTEGER,false
COMMUNAL_ESTABLISHMENT_20230330,"This table contains details of Communal Establishment",NUMBER_OF_RESIDENTS,"Number of residents",INTEGER,false
COMMUNAL_ESTABLISHMENT_20230330,"This table contains details of Communal Establishment",NUMBER_OF_VISITORS,"Number of visitors staying overnight at the establishment",INTEGER,false
COMMUNAL_ESTABLISHMENT_20230330,"This table contains details of Communal Establishment",QID_E,"Questionnaire ID",BIGINT,false
COMMUNAL_ESTABLISHMENT_20230330,"This table contains details of Communal Establishment",RESPONSE_ID_E,"Response ID",BIGINT,false
COMMUNAL_ESTABLISHMENT_20230330,"This table contains details of Communal Establishment",RESPONSIBLE_FOR_MANAGEMENT,Management(indicator),INTEGER,false
DWELLING_20230330,"This table contains details of shared dwelling",AVAIL_FROM_DT,"Date when data is made available i.e. date of loading",DATE,false
DWELLING_20230330,"This table contains details of shared dwelling",DWELLING_ADDRESS_MATCH_SCORE,"Dwelling Address (Match Score)",DOUBLE,false
DWELLING_20230330,"This table contains details of shared dwelling",DWELLING_ID_E,"Dwelling ID",BIGINT,false
DWELLING_20230330,"This table contains details of shared dwelling",DWELLING_LSOA,"Dwelling Lower Super Output Area",VARCHAR,true
DWELLING_20230330,"This table contains details of shared dwelling",DWELLING_RECORD_KEY,"Dwelling Key",INTEGER,false
DWELLING_20230330,"This table contains details of shared dwelling",HH_SPACES_SHARED_DWELLING,"Number of household spaces in shared dwellings",INTEGER,false
DWELLING_20230330,"This table contains details of shared dwelling",SHARED_DWELLING_INDICATOR,"Shared Dwelling Indicator",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",AVAIL_FROM_DT,"Date when data is made available i.e. date of loading",DATE,false
FAMILY_20230330,"This table contains details of the participants family",CONCEALED_FAMILY_IND,"Concealed Family indicator",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",FAMILIES_AND_CHILDREN,"Families and Children",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",FAMILIES_AND_CHILDREN_WELSH_SPEAKER_PARENTS,"Families and children by Welsh speaking parents",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",FAMILY_DEPENDENT_CHILDREN,"Dependent children in family",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",FAMILY_ID_E,"Family ID",BIGINT,false
FAMILY_20230330,"This table contains details of the participants family",FAMILY_NON_DEPENDENT_CHILDREN,"Number of non-dependent children in family",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",FAMILY_RECORD_KEY,"Family Key",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",FAMILY_TYPE_1,"Family Type 1",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",FAMILY_TYPE_2,"Family Type 2",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",FAMILY_TYPE_WELSH_SPEAKER,"Family Type by Welsh Speakers",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",GRANDPARENT_FAMILY,"Grandparent Family",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",GRANDPARENT_FAMILY_IND,"Grandparent Family Indicator",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",HOUSEHOLD_ID_E,"Household ID",BIGINT,false
FAMILY_20230330,"This table contains details of the participants family",SIZE_OF_FAMILY,"Family size",INTEGER,false
FAMILY_20230330,"This table contains details of the participants family",WORKERS_IN_GENERATION_1,"Number of workers in generation 1 of family",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",ACCOMMODATION_TYPE,"Accommodation type (Derived)",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",ACCOM_GROUP_20,"Accomodation Type collapsed",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",AGED_66_PLUS_HH,"Households with persons of pensionable age",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",AVAIL_FROM_DT,"Date when data is made available i.e. date of loading",DATE,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",AWAY_STUDENT_NUM,"Number of schoolchildren and students in a household living away during term time",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",DUMMY_REASON,"Dummy Reason",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",DUMMY_SOURCE,"Dummy Source",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",DWELLING_ID_E,"Dwelling ID",BIGINT,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",ESTIMATED_RESIDENTS,"Estimated Residents",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",FROM_DUMMY,"From Dummy",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HEATING_TYPE,"Central heating",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_17_PLUS,"Number of people aged 17 or over in the household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_ADULTS_AND_CHILDREN,"Adults and children in household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_ADULTS_DISABLED,"Number of disabled adults in the household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_ADULTS_EMPLOYMENT,"Number of adults in employment in household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_ADULTS_NUM,"Number of adults in household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_ADULT_WELSH_SPEAKERS,"DVO specifying adult Welsh speakers in household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_AWAY_STUDENT,"Household has students or schoolchildren living away during term-time",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_BEDROOMS_REQUIRED,"Number of bedrooms required by the household",INTEGER,false
HOUSEHOLD_20230330,"This table hold details on the participants Household",HH_CARERS,"Number of unpaid care providers in the household",INTEGER,false
