"Table Name","Table Description","Column Name","Column Description","Data Type",Sensitive
CASELOCALAUTHORITIES,"Table contains details of the primary Local authority",AVAIL_FROM_DT,"Date when the data made available (i.e. date of loading). Special access required.",DATE,false
CASELOCALAUTHORITIES,"Table contains details of the primary Local authority",CASEID_E,"Encrypted Case ID. Unique ID for this table.",BIGINT,false
CASELOCALAUTHORITIES,"Table contains details of the primary Local authority",ID_E,"Encrypted Address ID. Unique ID for this table. Special access required.",BIGINT,false
CASELOCALAUTHORITIES,"Table contains details of the primary Local authority",ISPRIMARY,"Flags the Primary LA on the case.",VARCHAR,false
CASELOCALAUTHORITIES,"Table contains details of the primary Local authority",LAID,"Local Authority ID. Links to [ECMS_LOCALAUTHORITIES] lookup.",INTEGER,false
CMS_TBLADDRESS,"Information derived from individual address data on people who are named on applications (but not experts, lawyers or case workers). Actual address details (e.g. house number/name, street name, post code) not included. Special access required.",ADDRESSID_E,"Encrypted Address ID. Unique ID for this table. Special access required.",BIGINT,false
CMS_TBLADDRESS,"Information derived from individual address data on people who are named on applications (but not experts, lawyers or case workers). Actual address details (e.g. house number/name, street name, post code) not included. Special access required.",AVAIL_FROM_DT,"Date when the data made available (i.e. date of loading). Special access required.",DATE,false
CMS_TBLADDRESS,"Information derived from individual address data on people who are named on applications (but not experts, lawyers or case workers). Actual address details (e.g. house number/name, street name, post code) not included. Special access required.",ISINSTITUTION,"Indicates if this address is an institution. Special access required.",VARCHAR,false
CMS_TBLADDRESS,"Information derived from individual address data on people who are named on applications (but not experts, lawyers or case workers). Actual address details (e.g. house number/name, street name, post code) not included. Special access required.",IS_INCARCERATED,"Indicates if this address references a prison or a psychiatric hospital. Special access required.",SMALLINT,false
CMS_TBLADDRESS,"Information derived from individual address data on people who are named on applications (but not experts, lawyers or case workers). Actual address details (e.g. house number/name, street name, post code) not included. Special access required.",LSOA_2011_CODE,"Lower Layer Super Output Area (LSOA 2011 code) of this address. Special access required.",VARCHAR,false
CMS_TBLADDRESSHISTORY,"Address History data that links a person to an address. Special access required.",ADDRESSHISTORYID_E,"Encrypted Address History ID. Unique ID for this table. Special access required.",BIGINT,false
CMS_TBLADDRESSHISTORY,"Address History data that links a person to an address. Special access required.",ADDRESSREF_E,"Encrypted Address ID. Links to [CMS_TBLADDRESS] table. Special access required.",BIGINT,false
CMS_TBLADDRESSHISTORY,"Address History data that links a person to an address. Special access required.",AVAIL_FROM_DT,"Date when the data made available (i.e. date of loading). Special access required.",DATE,false
CMS_TBLADDRESSHISTORY,"Address History data that links a person to an address. Special access required.",FINALDATE,"Final Date at this address. Special access required.",DATE,false
CMS_TBLADDRESSHISTORY,"Address History data that links a person to an address. Special access required.",ISINSTITUTION,"Indicates if this address is an institution. Special access required.",VARCHAR,false
CMS_TBLADDRESSHISTORY,"Address History data that links a person to an address. Special access required.",PERSONREF_E,"Encrypted Person ID. Links to [CMS_TBLPERSON] table. Special access required.",BIGINT,false
