Section,Value,Field
Dataset,Name,"ONS 2021 Census (CENS)"
Dataset,"Gateway URL",https://web.prod.hdruk.cloud//dataset/361?version=1.0.0
Dataset,"Dataset Type","Health and disease"
Dataset,"Dataset Sub-type",
Dataset,"Collection Sources","Community;,;Home;,;Other"
"Summary Demographics","Population Size",59597300
"Summary Demographics",Years,2021-03-21T00:00:00.000Z
"Summary Demographics","Associate BioSamples","None/not available"
"Summary Demographics","Geographic coverage","United Kingdom,England;,;United Kingdom,Wales"
"Summary Demographics","Lead time",Other
Summary,Abstract,"A census in the UK is a count of all people and households. This census in the UK was held on 21 March 2021."
Summary,"DOI for dataset",
Documentation,Description,"A census in the UK is a count of all people and households. This census in the UK was held on 21 March 2021."
Documentation,"Dataset type","Health and disease"
Documentation,"Dataset sub-type",
Documentation,"Dataset population size",59597300
Documentation,"Associated media","https://saildatabank.com/about-us/, https://popdatasci.swan.ac.uk/centres-of-excellence/sail/, https://saildatabank.com/, https://www.ons.gov.uk/census, https://ukserp.atlassian.net/wiki/spaces/SATP/pages/16973932/CENS+-+CENSUS+21+dataset, https://www.ons.gov.uk/census/census2021dictionary/variablesbytopic"
Documentation,"Synthetic data web link",
Keywords,Keywords,"SAIL;,;Census;,;Population;,;Resident Population;,;ONS;,;NCS;,;National Core Study;,;COVID-19;,;Housing & Communities;,;World of Work;,;Inequality & Social Inclusion;,;RAP"
Provenance,"Purpose of dataset collection",Administrative
Provenance,"Source of dataset extraction",Other
Provenance,"Collection source setting","Community;,;Home;,;Other"
Provenance,"Patient pathway description",
Provenance,"Image contrast","Not stated"
Provenance,"Biological sample availability","None/not available"
Details,"Publishing frequency",Static
Details,Version,14.0.0
Details,Modified,2024-10-08T11:29:38.783Z
Details,"Distribution release date",2022-06-27T23:00:00.000Z
Details,"Citation Requirements","Office for National Statistics,,"
Coverage,"Start date",2021-03-21T00:00:00.000Z
Coverage,"End date",2021-03-21T00:00:00.000Z
Coverage,"Time lag",Other
Coverage,"Geographic coverage","United Kingdom,England;,;United Kingdom,Wales"
Coverage,"Minimum age range",0
Coverage,"Maximum age range",120
Coverage,Follow-up,Unknown
Coverage,"Dataset completeness",
Omics,Assay,
Omics,Platform,
Accessibility,Language,en
Accessibility,"Alignment with standardised data models",LOCAL
Accessibility,"Controlled vocabulary",LOCAL
Accessibility,Format,"SQL database table"
"Data Access Request","Dataset pipeline status",Available
"Data Access Request","Access rights",https://saildatabank.com/data/apply-to-work-with-the-data/
"Data Access Request","Time to dataset access",Other
"Data Access Request","Access request cost","Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements."
"Data Access Request","Access method category",TRE/SDE
"Data Access Request","Access mode","Project-specific restrictions"
"Data Access Request","Access service description","The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
"Data Access Request",Jurisdiction,GB-WLS
"Data Access Request","Data use limitation","Research-specific restrictions"
"Data Access Request","Data use requirements","Project-specific restrictions"
"Data Access Request","Data Controller","Office for National Statistics"
"Data Access Request","Data Processor","SAIL Databank"
"Data Access Request",Investigations,null
Demographics,"Demographic Frequency",null
