dataset,reference_year,stress_test,window,window_role,exposure_variant,same_mean_signed_corr,lag1_mean_signed_corr,lag2_mean_signed_corr,future_placebo_lead1_mean_signed_corr,best_nonlead_alignment,best_nonlead_mean_signed_corr,lead1_minus_best_nonlead,nonlead_competitive,future_placebo_dominates,rule
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,backlog_automation_index,0.142,0.0605,0.0157,0.1319,same,0.142,-0.0101,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,backlog_automation_rank_index,0.1722,0.1032,0.0335,0.126,same,0.1722,-0.0462,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,ex_parte_renewal_rate,0.0962,0.0474,0.0012,0.0764,same,0.0962,-0.0198,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,pending_rate,0.1141,0.0384,0.0193,0.1001,same,0.1141,-0.014,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,renewal_form_rate,-0.0235,0.0471,-0.0465,0.0139,lag1,0.0471,-0.0332,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,expanded_may_oct_2023,sensitivity,backlog_automation_index,0.1166,0.0883,0.045,0.0901,same,0.1166,-0.0265,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,expanded_may_oct_2023,sensitivity,backlog_automation_rank_index,0.1269,0.1214,0.0512,0.1015,same,0.1269,-0.0254,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,expanded_may_oct_2023,sensitivity,ex_parte_renewal_rate,0.0709,0.0752,0.0208,0.0756,lag1,0.0752,0.0004,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,expanded_may_oct_2023,sensitivity,pending_rate,0.1008,0.0499,0.0416,0.0489,same,0.1008,-0.0519,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,expanded_may_oct_2023,sensitivity,renewal_form_rate,-0.0333,0.007,-0.0307,-0.0024,lag1,0.007,-0.0094,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,mature_jun_oct_2023,primary,backlog_automation_index,0.1221,0.0883,0.045,0.1061,same,0.1221,-0.016,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,mature_jun_oct_2023,primary,backlog_automation_rank_index,0.1509,0.1214,0.0512,0.1099,same,0.1509,-0.041,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,mature_jun_oct_2023,primary,ex_parte_renewal_rate,0.0921,0.0752,0.0208,0.0836,same,0.0921,-0.0085,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,mature_jun_oct_2023,primary,pending_rate,0.0884,0.0499,0.0416,0.0638,same,0.0884,-0.0246,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,distributed_timing,mature_jun_oct_2023,primary,renewal_form_rate,-0.0477,0.007,-0.0307,-0.0136,lag1,0.007,-0.0206,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,phase_split,phase_core_aug_oct_2023,phase_core,backlog_automation_index,0.142,0.0605,0.0157,0.1319,same,0.142,-0.0101,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,phase_split,phase_core_aug_oct_2023,phase_core,backlog_automation_rank_index,0.1722,0.1032,0.0335,0.126,same,0.1722,-0.0462,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,phase_split,phase_core_aug_oct_2023,phase_core,ex_parte_renewal_rate,0.0962,0.0474,0.0012,0.0764,same,0.0962,-0.0198,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,phase_split,phase_core_aug_oct_2023,phase_core,pending_rate,0.1141,0.0384,0.0193,0.1001,same,0.1141,-0.014,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,phase_split,phase_core_aug_oct_2023,phase_core,renewal_form_rate,-0.0235,0.0471,-0.0465,0.0139,lag1,0.0471,-0.0332,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,phase_split,phase_early_may_jul_2023,phase_early,backlog_automation_index,0.0887,0.1419,0.1982,0.0546,lag2,0.1982,-0.1436,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,phase_split,phase_early_may_jul_2023,phase_early,backlog_automation_rank_index,0.077,0.1573,0.145,0.0811,lag1,0.1573,-0.0762,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,phase_split,phase_early_may_jul_2023,phase_early,ex_parte_renewal_rate,0.0443,0.1299,0.1294,0.0776,lag1,0.1299,-0.0523,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,phase_split,phase_early_may_jul_2023,phase_early,pending_rate,0.0854,0.0713,0.1528,0.0037,lag2,0.1528,-0.1491,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,phase_split,phase_early_may_jul_2023,phase_early,renewal_form_rate,-0.0422,-0.0637,0.0559,-0.0155,lag2,0.0559,-0.0714,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
SIPP,2023,phase_split,phase_late_sep_oct_2023,phase_late,backlog_automation_index,0.0385,-0.0361,-0.0197,0.001,same,0.0385,-0.0375,True,False,competitive if best non-lead >= 0.75 * positive lead1; lead dominates if lead1 exceeds best non-lead by > 0.01
