reference_year,exposure_family,tertile,states,eligible_weight_sum,weighted_exit_rate,weighted_exit_to_uninsured_rate
2021,procedural_friction,high,17,61290538.67392991,0.0025457533046037333,0.0004301727187301528
2021,procedural_friction,low,17,66130579.9866552,0.0022203004165006488,0.0013306954635625133
2021,procedural_friction,mid,17,145276266.61518964,0.0026815478540434096,0.0010832864453142912
2022,procedural_friction,high,17,66433562.73817359,0.003182904077795261,0.0009590554236479238
2022,procedural_friction,low,17,68924106.24147388,0.0022893392463601107,0.0009921216657946719
2022,procedural_friction,mid,17,146944394.33378676,0.003639191084694842,0.0010278770077898193
2021,procedural_friction,high_minus_low,34,127421118.6605851,0.0003254528881030845,-0.0009005227448323605
2022,procedural_friction,high_minus_low,34,135357668.97964746,0.0008935648314351502,-3.306624214674807e-05
2021,renewal_intensity,high,17,196069664.13727835,0.002486516993535293,0.0011728036486251105
2021,renewal_intensity,low,17,17316935.79575213,0.002592820161896885,0.0008154016860744912
2021,renewal_intensity,mid,17,59310785.342744276,0.0026975760589093745,0.0004665174235108138
2022,renewal_intensity,high,17,201159959.3182151,0.003418726301766196,0.0011369612644925116
2022,renewal_intensity,low,17,17957368.971408322,0.001477322135483161,0.0008761892308361943
2022,renewal_intensity,mid,17,63184735.02381082,0.0030032789795619067,0.0006123345627724767
2021,renewal_intensity,high_minus_low,34,213386599.9330305,-0.0001063031683615919,0.0003574019625506193
2022,renewal_intensity,high_minus_low,34,219117328.28962344,0.0019414041662830352,0.00026077203365631725
2021,pending_pressure,high,17,106102242.68965542,0.0020046660413535014,0.0008128388075628157
2021,pending_pressure,low,17,76302588.43833569,0.0037952210372198536,0.0012777719559945587
2021,pending_pressure,mid,17,90292554.14778359,0.0021058309488642076,0.000974605975227694
2022,pending_pressure,high,17,109122566.65695864,0.003040467751818982,0.0009375923040578119
2022,pending_pressure,low,17,76799820.17819749,0.003837790238369249,0.0015106770779775413
2022,pending_pressure,mid,17,96379676.4782781,0.002878986670431884,0.0006723733451762025
2021,pending_pressure,high_minus_low,34,182404831.1279911,-0.0017905549958663522,-0.000464933148431743
2022,pending_pressure,high_minus_low,34,185922386.83515614,-0.0007973224865502671,-0.0005730847739197294
