window,window_role,feature_family,outcome,outcome_role,group_label,pre_rows,pre_weight,pre_rate,pre_event_weight,unwinding_rows,unwinding_weight,unwinding_rate,unwinding_event_weight,pre_rank_high,unwinding_rank_high,rank_delta,rate_change
core_aug_oct_2023,primary,female_group,broad_exit_resolved_insured_h2,contrast_resolution,male,21019,186472865.17500195,0.00220669,411487.2056879,9677,94236571.2167369,0.00500021,471202.4415406,1,2,1.0,0.00279352
core_aug_oct_2023,primary,female_group,medicaid_exit_to_uninsured_next,benchmark_harm,female,27089,229319509.4630394,0.0013427,307907.0556684,12122,113490741.68880375,0.00259388,294381.5407025,1,2,1.0,0.00125118
core_aug_oct_2023,primary,female_group,medicaid_exit_to_uninsured_next,benchmark_harm,male,21052,186868451.2984621,0.00079518,148594.7888283,9705,94649767.65437903,0.00387756,367010.0087563,2,1,-1.0,0.00308237
core_aug_oct_2023,primary,foreign_born_group,persistent_uninsured_h2,primary_harm,foreign_born,7660,60826035.81671293,0.00089243,54282.8646543,3890,33809433.0394945,0.00242275,81911.9724741,2,2,0.0,0.00153033
core_aug_oct_2023,primary,foreign_born_group,persistent_uninsured_h2,primary_harm,us_born,40405,354440969.63483036,0.00112555,398941.3138292,17884,173641069.0422626,0.00303252,526570.2482737,1,1,0.0,0.00190697
core_aug_oct_2023,primary,foreign_born_group,broad_exit_persistent_uninsured_h2,primary_harm,foreign_born,7660,60826035.81671293,0.00089243,54282.8646543,3890,33809433.0394945,0.00242275,81911.9724741,2,2,0.0,0.00153033
core_aug_oct_2023,primary,foreign_born_group,broad_exit_persistent_uninsured_h2,primary_harm,us_born,40405,354440969.63483036,0.00112555,398941.3138292,17884,173641069.0422626,0.00309336,537134.6680747,1,1,0.0,0.00196781
core_aug_oct_2023,primary,foreign_born_group,broad_exit_resolved_insured_h2,contrast_resolution,foreign_born,7660,60826035.81671293,0.00116224,70694.2032165,3890,33809433.0394945,0.00481054,162641.6538045,2,2,0.0,0.0036483
core_aug_oct_2023,primary,foreign_born_group,broad_exit_resolved_insured_h2,contrast_resolution,us_born,40405,354440969.63483036,0.00193477,685761.8968775,17884,173641069.0422626,0.00506538,879558.3266241,1,1,0.0,0.00313061
core_aug_oct_2023,primary,foreign_born_group,medicaid_exit_to_uninsured_next,benchmark_harm,foreign_born,7674,60937626.95576543,0.00089079,54282.8646543,3898,33899378.8530858,0.00241633,81911.9724741,2,2,0.0,0.00152553
core_aug_oct_2023,primary,foreign_born_group,medicaid_exit_to_uninsured_next,benchmark_harm,us_born,40467,355250333.80573606,0.00113221,402218.9798424,17929,174241130.49009693,0.00332573,579479.5769847,1,1,0.0,0.00219352
core_aug_oct_2023,primary,household_child_group,persistent_uninsured_h2,primary_harm,household_has_child,30037,272961491.38065803,0.00115979,316577.5701369,12979,132109119.7998591,0.00308561,407637.1416759,1,1,0.0,0.00192582
core_aug_oct_2023,primary,household_child_group,persistent_uninsured_h2,primary_harm,household_no_child,18028,142305514.07088524,0.00096023,136646.6083466,8795,75341382.28189802,0.0026658,200845.0790719,2,2,0.0,0.00170557
core_aug_oct_2023,primary,household_child_group,broad_exit_persistent_uninsured_h2,primary_harm,household_has_child,30037,272961491.38065803,0.00115979,316577.5701369,12979,132109119.7998591,0.00316558,418201.5614769,1,1,0.0,0.00200579
core_aug_oct_2023,primary,household_child_group,broad_exit_persistent_uninsured_h2,primary_harm,household_no_child,18028,142305514.07088524,0.00096023,136646.6083466,8795,75341382.28189802,0.0026658,200845.0790719,2,2,0.0,0.00170557
core_aug_oct_2023,primary,household_child_group,broad_exit_resolved_insured_h2,contrast_resolution,household_has_child,30037,272961491.38065803,0.00176068,480597.020987,12979,132109119.7998591,0.00484471,640030.9341487,2,2,0.0,0.00308404
core_aug_oct_2023,primary,household_child_group,broad_exit_resolved_insured_h2,contrast_resolution,household_no_child,18028,142305514.07088524,0.0019385,275859.079107,8795,75341382.28189802,0.00533796,402169.0462799,1,1,0.0,0.00339946
core_aug_oct_2023,primary,household_child_group,medicaid_exit_to_uninsured_next,benchmark_harm,household_has_child,30075,273456040.71012604,0.00116968,319855.2361501,12999,132354966.1980844,0.00347963,460546.4703869,1,1,0.0,0.00230995
core_aug_oct_2023,primary,household_child_group,medicaid_exit_to_uninsured_next,benchmark_harm,household_no_child,18066,142731920.05137545,0.00095737,136646.6083466,8828,75785543.14509833,0.00265018,200845.0790719,2,2,0.0,0.00169281
core_aug_oct_2023,primary,noncitizen_group,persistent_uninsured_h2,primary_harm,citizen,45208,393107555.89034617,0.00113701,446967.5217905,20150,193082873.7520204,0.00278372,537488.2344577,1,2,1.0,0.00164671
core_aug_oct_2023,primary,noncitizen_group,persistent_uninsured_h2,primary_harm,noncitizen,2857,22159449.5611971,0.00028235,6256.656693,1624,14367628.3297367,0.00494125,70993.9862901,2,1,-1.0,0.0046589
core_aug_oct_2023,primary,noncitizen_group,broad_exit_persistent_uninsured_h2,primary_harm,citizen,45208,393107555.89034617,0.00113701,446967.5217905,20150,193082873.7520204,0.00283843,548052.6542587,1,2,1.0,0.00170142
core_aug_oct_2023,primary,noncitizen_group,broad_exit_persistent_uninsured_h2,primary_harm,noncitizen,2857,22159449.5611971,0.00028235,6256.656693,1624,14367628.3297367,0.00494125,70993.9862901,2,1,-1.0,0.0046589
core_aug_oct_2023,primary,noncitizen_group,broad_exit_resolved_insured_h2,contrast_resolution,citizen,45208,393107555.89034617,0.0019243,756456.100094,20150,193082873.7520204,0.00525608,1014858.9101648,1,1,0.0,0.00333178
core_aug_oct_2023,primary,noncitizen_group,broad_exit_resolved_insured_h2,contrast_resolution,noncitizen,2857,22159449.5611971,0.0,0.0,1624,14367628.3297367,0.00190296,27341.0702638,2,2,0.0,0.00190296
core_aug_oct_2023,primary,noncitizen_group,medicaid_exit_to_uninsured_next,benchmark_harm,citizen,45283,394021016.3000057,0.00114269,450245.1878037,20202,193767581.00378057,0.00304694,590397.5631687,1,2,1.0,0.00190424
core_aug_oct_2023,primary,noncitizen_group,medicaid_exit_to_uninsured_next,benchmark_harm,noncitizen,2858,22166944.4614958,0.00028225,6256.656693,1625,14372928.3394022,0.00493942,70993.9862901,2,1,-1.0,0.00465717
core_aug_oct_2023,primary,pov_band,persistent_uninsured_h2,primary_harm,pov_1_2,14164,120224079.94241133,0.00084938,102115.3961212,5904,55808895.1960997,0.00237071,132306.6672097,4,3,-1.0,0.00152133
core_aug_oct_2023,primary,pov_band,persistent_uninsured_h2,primary_harm,pov_2_4,11650,104152075.54576722,0.00132039,137521.325279,5832,56382153.5411336,0.00529905,298771.638906,1,1,0.0,0.00397866
core_aug_oct_2023,primary,pov_band,persistent_uninsured_h2,primary_harm,pov_4_plus,5459,49635625.62685943,0.00090665,45001.9499388,2700,29211273.18111462,0.00460532,134527.2972578,3,2,-1.0,0.00369868
core_aug_oct_2023,primary,pov_band,persistent_uninsured_h2,primary_harm,pov_lt_1,16594,139092261.78856552,0.00121204,168585.5071445,7267,65401932.76165141,0.00065559,42876.6173743,2,4,2.0,-0.00055645
core_aug_oct_2023,primary,pov_band,broad_exit_persistent_uninsured_h2,primary_harm,pov_1_2,14164,120224079.94241133,0.00084938,102115.3961212,5904,55808895.1960997,0.00237071,132306.6672097,4,3,-1.0,0.00152133
core_aug_oct_2023,primary,pov_band,broad_exit_persistent_uninsured_h2,primary_harm,pov_2_4,11650,104152075.54576722,0.00132039,137521.325279,5832,56382153.5411336,0.00548642,309336.058707,1,1,0.0,0.00416603
core_aug_oct_2023,primary,pov_band,broad_exit_persistent_uninsured_h2,primary_harm,pov_4_plus,5459,49635625.62685943,0.00090665,45001.9499388,2700,29211273.18111462,0.00460532,134527.2972578,3,2,-1.0,0.00369868
core_aug_oct_2023,primary,pov_band,broad_exit_persistent_uninsured_h2,primary_harm,pov_lt_1,16594,139092261.78856552,0.00121204,168585.5071445,7267,65401932.76165141,0.00065559,42876.6173743,2,4,2.0,-0.00055645
core_aug_oct_2023,primary,pov_band,broad_exit_resolved_insured_h2,contrast_resolution,pov_1_2,14164,120224079.94241133,0.00064491,77533.8892179,5904,55808895.1960997,0.00651986,363866.0876395,3,2,-1.0,0.00587495
core_aug_oct_2023,primary,pov_band,broad_exit_resolved_insured_h2,contrast_resolution,pov_2_4,11650,104152075.54576722,0.00371929,387371.5934979,5832,56382153.5411336,0.00643379,362750.7015909,2,3,1.0,0.0027145
core_aug_oct_2023,primary,pov_band,broad_exit_resolved_insured_h2,contrast_resolution,pov_4_plus,5459,49635625.62685943,0.00412093,204544.8140851,2700,29211273.18111462,0.00850009,248298.4409911,1,1,0.0,0.00437916
core_aug_oct_2023,primary,pov_band,broad_exit_resolved_insured_h2,contrast_resolution,pov_lt_1,16594,139092261.78856552,0.00062553,87005.8032931,7267,65401932.76165141,0.00102879,67284.7502071,4,4,0.0,0.00040326
core_aug_oct_2023,primary,pov_band,medicaid_exit_to_uninsured_next,benchmark_harm,pov_1_2,14187,120523454.83625317,0.00084727,102115.3961212,5912,55896112.5990162,0.00236701,132306.6672097,4,3,-1.0,0.00151974
core_aug_oct_2023,primary,pov_band,medicaid_exit_to_uninsured_next,benchmark_harm,pov_2_4,11664,104306684.26214202,0.00131843,137521.325279,5853,56662002.0326305,0.00620665,351680.967617,1,1,0.0,0.00488821
