dataset,reference_year,window,metric_type,exposure_family,exposure_variant,alignment,outcome,support_rows,support_weight,estimate_or_contrast,direction_flag,notes
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_count,same,medicaid_exit_next,136,218274102.29,0.0018,expected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_count,same,medicaid_exit_to_uninsured_next,136,218274102.29,-0.0009,unexpected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_count,lag1,medicaid_exit_next,136,211964856.98,-0.0001,unexpected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_count,lag1,medicaid_exit_to_uninsured_next,136,211964856.98,-0.001,unexpected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_count,lead1,medicaid_exit_next,102,164076662.32,-0.0038,unexpected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_count,lead1,medicaid_exit_to_uninsured_next,102,164076662.32,-0.0024,unexpected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_count,lag2,medicaid_exit_next,134,202243747.83,0.0018,expected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_count,lag2,medicaid_exit_to_uninsured_next,134,202243747.83,0.0003,expected,Raw count of procedural terminations; useful descriptively but size-loaded.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_share,same,medicaid_exit_next,136,133608061.8,0.0031,expected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_share,same,medicaid_exit_to_uninsured_next,136,133608061.8,-0.0001,unexpected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_share,lag1,medicaid_exit_next,136,149475147.8,0.0027,expected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_share,lag1,medicaid_exit_to_uninsured_next,136,149475147.8,0.0019,expected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_share,lead1,medicaid_exit_next,102,101857675.48,-0.0027,unexpected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_share,lead1,medicaid_exit_to_uninsured_next,102,101857675.48,-0.0038,unexpected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_share,lag2,medicaid_exit_next,134,161300361.3,0.003,expected,Procedural terminations as a share of all terminations.
SIPP,2023,core_aug_nov_2023,high_minus_low,procedural_termination_burden,procedural_term_share,lag2,medicaid_exit_to_uninsured_next,134,161300361.3,-0.0001,unexpected,Procedural terminations as a share of all terminations.
