project,dataset_path,variable,rank,value,count_in_profile,profile_basis,profile_rows
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_name,1,Alaska,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_name,2,Alabama,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_name,3,Arkansas,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_name,4,Arizona,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_name,5,California,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_name,6,Colorado,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_name,7,Connecticut,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_name,8,District of Columbia,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_name,9,Delaware,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_name,10,Florida,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_abbr,1,AK,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_abbr,2,AL,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_abbr,3,AR,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_abbr,4,AZ,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_abbr,5,CA,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_abbr,6,CO,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_abbr,7,CT,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_abbr,8,DC,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_abbr,9,DE,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_abbr,10,FL,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_fips,1,2,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_fips,2,1,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_fips,3,5,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_fips,4,4,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_fips,5,6,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_fips,6,8,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_fips,7,9,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_fips,8,11,10,full_file,510
insurance_churn_unwinding,data_clean/cms/cms_sipp_merge_ready_state_month_2023.csv,state_fips,9,10,10,full_file,510
