year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
2002,39165,38280,"1,2",1,2,1.96201671891327,885
2003,34215,33493,"1,2",1,2,1.9627981966381,722
2004,34403,33634,"1,2",1,2,1.96435154902777,769
2005,33961,33169,"1,2",1,2,1.96213331725406,792
2006,34145,33413,"1,2",1,2,1.96306826684225,732
2007,30964,30315,"1,2",1,2,1.9681345868382,649
2008,33066,32260,"1,2",1,2,1.96990080595164,806
2009,36855,36088,"1,2",1,2,1.9705165151851,767
2010,32846,32152,"1,2",1,2,1.97225678029361,694
2011,35313,34575,"1,2",1,2,1.97154013015184,738
2012,38974,38160,"1,2",1,2,1.97180293501048,814
2013,36940,36112,"1,2",1,2,1.97114532565352,828
2014,34875,34182,"1,2",1,2,1.97349482183605,693
2015,35427,34715,"1,2",1,2,1.96937923088002,712
2016,34655,33958,"1,2",1,2,1.97122916543966,697
2017,31880,31252,"1,2",1,2,1.97024190451811,628
