year,n_valid,mean,median,sd,p25,p75,p95,max,zeros_pct
1996,22601,0.17251449050927,0,0.557823123610617,0,0,1,17,87.4430334940932
1997,34551,0.172932766055975,0,0.59466335617109,0,0,1,34,87.5112153049116
1998,24072,0.172565636424061,0,0.569361706972722,0,0,1,15,87.508308408109
1999,24618,0.155780323340645,0,0.503938361026631,0,0,1,10,88.2118774880169
2000,25096,0.167038571883966,0,0.53473767737909,0,0,1,13,87.6275103602168
2001,33556,0.192037191560377,0,0.573297232256304,0,0,1,15,86.011443557039
2002,39165,0.200638325035108,0,0.616753305644437,0,0,1,19,85.7525852163922
2003,34215,0.200058453894491,0,0.594385371463982,0,0,1,15,85.5005114715768
2004,34403,0.198441996337529,0,0.614634532640916,0,0,1,14,85.8326308752144
2005,33961,0.189805953888284,0,0.570384915941173,0,0,1,17,85.995700951091
2006,34145,0.188665983306487,0,0.582483436125408,0,0,1,12,86.4284668326256
2007,30964,0.185957886577962,0,0.582092755944514,0,0,1,14,86.44877922749
2008,33066,0.18493316397508,0,0.588927874361908,0,0,1,22,86.8777596322506
2009,36855,0.188712522045855,0,0.587179290704854,0,0,1,19,86.4197530864198
2010,32846,0.167935212811301,0,0.547893997716285,0,0,1,20,87.6331973451866
2011,35313,0.175431144337779,0,0.564190721946289,0,0,1,22,87.3757539716252
2012,38974,0.176066095345615,0,0.569087859931408,0,0,1,15,87.4685687894494
2013,36940,0.203302652950731,0,0.633601579667342,0,0,1,24,85.9339469409854
2014,34875,0.207483870967742,0,0.653308613133854,0,0,1,18,85.8867383512545
2015,35427,0.202190419736359,0,0.61659775941263,0,0,1,17,85.7876760662771
2016,34655,0.197143269369499,0,0.604305295493773,0,0,1,13,86.1318713028423
2017,31880,0.207308657465496,0,0.624552214704325,0,0,1,13,85.5865746549561
2020,27805,0.173026434094587,0,0.593949066549097,0,0,1,21,87.9374213270994
2021,28336,0.192123094297007,0,0.61001817729,0,0,1,17,86.5789102202146
