year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
1997,34551,34551,"1,2",1,2,1.86527162744928,0
1998,24072,24072,"1,2",1,2,1.86444832170156,0
1999,24618,24618,"1,2",1,2,1.87021691445284,0
2000,25096,25096,"1,2",1,2,1.86567580490915,0
2001,33556,33556,"1,2",1,2,1.86622362617714,0
2002,39165,39165,"1,2",1,2,1.8680454487425,0
2003,34215,34215,"1,2",1,2,1.86716352476984,0
2004,34403,34403,"1,2",1,2,1.86736621806238,0
2005,33961,33961,"1,2",1,2,1.86717116692677,0
2006,34145,34145,"1,2",1,2,1.85977449114072,0
2007,30964,30964,"1,2",1,2,1.86096757524868,0
2008,33066,33066,"1,2",1,2,1.87467489263896,0
2009,36855,36855,"1,2",1,2,1.87130647130647,0
2010,32846,32846,"1,2",1,2,1.86378858917372,0
2011,35313,35313,"1,2",1,2,1.86254353920652,0
2012,38974,38974,"1,2",1,2,1.86742443680402,0
2013,36940,36940,"1,2",1,2,1.86746074715755,0
2014,34875,34875,"1,2",1,2,1.8591541218638,0
2015,35427,35427,"1,2",1,2,1.84943687018376,0
2016,34655,34655,"1,2",1,2,1.83979223777233,0
2017,31880,31880,"1,2",1,2,1.81800501882058,0
