year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
1997,34551,34551,"1,2",1,2,1.36907759543863,0
1998,24072,24072,"1,2",1,2,1.37612163509472,0
1999,24618,24618,"1,2",1,2,1.32874319603542,0
2000,25096,25096,"1,2",1,2,1.34459674848581,0
2001,33556,33556,"1,2",1,2,1.35591250447014,0
2002,39165,39165,"1,2",1,2,1.39315715562364,0
2003,34215,34215,"1,2",1,2,1.44246675434751,0
2004,34403,34403,"1,2",1,2,1.44737377554283,0
2005,33961,33961,"1,2",1,2,1.45499249138718,0
2006,34145,34145,"1,2",1,2,1.45971591741104,0
2007,30964,30964,"1,2",1,2,1.45317142488051,0
2008,33066,33066,"1,2",1,2,1.46141051230872,0
2009,36855,36855,"1,2",1,2,1.47551214217881,0
2010,32846,32846,"1,2",1,2,1.48617792120806,0
2011,35313,35313,"1,2",1,2,1.49607793163991,0
2012,38974,38974,"1,2",1,2,1.50926258531329,0
2013,36940,36940,"1,2",1,2,1.52401191120736,0
2014,34875,34875,"1,2",1,2,1.5026523297491,0
2015,35427,35427,"1,2",1,2,1.48499731842945,0
2016,34655,34655,"1,2",1,2,1.48039243976338,0
2017,31880,31880,"1,2",1,2,1.45194479297365,0
