MONTHCODE,month_name,n_person_months,medicaid_rate,uninsured_rate,private_rate,public_rate,n_lag_medicaid,medicaid_exit_rate,exit_to_uninsured_rate,n_lag_nonmedicaid,medicaid_gain_rate,delta_medicaid_rate_from_previous_month,delta_uninsured_rate_from_previous_month
1,Jan,36677,0.20762330615917332,0.08836600594377948,0.645690759876762,0.4467104725032036,0,,,0,,,
2,Feb,36670,0.20668121079901827,0.08841014453231524,0.6439050995364057,0.4464685028633761,7603,0.00973300013152703,0.0027620676048928055,29043,0.0014116998932617154,-0.0009420953601550486,4.4138588535760914e-05
3,Mar,36610,0.20603660202130566,0.08721660748429391,0.6448784485113357,0.44640808522261677,7555,0.006485771012574454,0.0031767041694242223,29034,0.0009988289591513397,-0.0006446087777126075,-0.0011935370480213314
4,Apr,36533,0.20491062874661264,0.08748255002326663,0.6447047874524403,0.4462814441737607,7515,0.005988023952095809,0.0037258815701929474,29002,0.0004137645679608303,-0.0011259732746930207,0.0002659425389727188
5,May,36483,0.20382095770632896,0.08634158375133624,0.6452046158484773,0.4462900529013513,7451,0.00644208831029392,0.0018789424238357267,29000,0.0006551724137931035,-0.0010896710402836796,-0.0011409662719303881
6,Jun,36430,0.20277244029645897,0.08602799890200384,0.6458962393631622,0.44611583859456494,7418,0.007279590186033971,0.0028309517390132113,28993,0.000655330597040665,-0.0010485174098699979,-0.0003135848493324017
7,Jul,36388,0.20154996152577773,0.08615477629987908,0.6462844893921073,0.44599868088380784,7364,0.008690928843020097,0.005296034763715372,29010,0.0010685970355049984,-0.0012224787706812401,0.00012677739787524123
8,Aug,36336,0.20150814619110524,0.08553500660501981,0.646741523557904,0.4466369440774989,7312,0.004102844638949671,0.0013676148796498905,29001,0.0010344470880314471,-4.181533467248477e-05,-0.0006197696948592735
9,Sep,36301,0.20112393597972508,0.08547973885016942,0.6467314950001377,0.44687474174265174,7306,0.006022447303586094,0.0032849712565015056,28975,0.0011389128559102675,-0.0003842102113801593,-5.526775485038826e-05
10,Oct,36280,0.20052370452039692,0.0850606394707828,0.646747519294377,0.44713340683572217,7287,0.00603815013036915,0.002470152326060107,28966,0.000828557619277774,-0.0006002314593281655,-0.00041909937938662545
11,Nov,36246,0.19971858963747724,0.08420239474700657,0.6479335650830437,0.4473045301550516,7261,0.007161547996143782,0.003443051921222972,28963,0.0006905362013603563,-0.0008051148829196775,-0.0008582447237762275
12,Dec,36214,0.19879052300215386,0.08480145799966864,0.6476224664494394,0.44703705749157785,7214,0.006237870806764624,0.0036041031327973387,28980,0.0008971704623878537,-0.0009280666353233824,0.0005990632526620687
