TEHC_ST,MONTHCODE,n_lag_medicaid,medicaid_exit_rate,exit_to_uninsured_rate,valid_cell_30,valid_cell_50
15,8,21,0.0,0.0,False,False
15,9,21,0.0,0.0,False,False
15,10,21,0.0,0.0,False,False
15,11,21,0.0,0.0,False,False
15,12,21,0.0,0.0,False,False
16,2,39,0.02564102564102564,0.0,True,False
16,3,38,0.0,0.0,True,False
16,4,37,0.0,0.0,True,False
16,5,36,0.08333333333333333,0.0,True,False
16,6,33,0.0,0.0,True,False
16,7,31,0.0,0.0,True,False
16,8,32,0.0,0.0,True,False
16,9,32,0.0,0.0,True,False
16,10,34,0.0,0.0,True,False
16,11,34,0.0,0.0,True,False
16,12,33,0.0,0.0,True,False
17,2,250,0.016,0.008,True,True
17,3,247,0.008097165991902834,0.0,True,True
17,4,244,0.004098360655737705,0.004098360655737705,True,True
17,5,243,0.0,0.0,True,True
17,6,242,0.0,0.0,True,True
17,7,243,0.0,0.0,True,True
17,8,243,0.0,0.0,True,True
17,9,242,0.0,0.0,True,True
17,10,243,0.00411522633744856,0.0,True,True
17,11,242,0.02066115702479339,0.01652892561983471,True,True
17,12,238,0.004201680672268907,0.0,True,True
18,2,160,0.0125,0.00625,True,True
18,3,158,0.006329113924050633,0.0,True,True
18,4,154,0.032467532467532464,0.012987012987012988,True,True
18,5,150,0.0,0.0,True,True
18,6,151,0.006622516556291391,0.0,True,True
18,7,150,0.0,0.0,True,True
18,8,153,0.0,0.0,True,True
18,9,152,0.0,0.0,True,True
18,10,152,0.006578947368421052,0.0,True,True
18,11,152,0.03289473684210526,0.02631578947368421,True,True
18,12,146,0.00684931506849315,0.00684931506849315,True,True
19,2,63,0.0,0.0,True,True
19,3,63,0.06349206349206349,0.0,True,True
19,4,58,0.0,0.0,True,True
19,5,58,0.0,0.0,True,True
19,6,60,0.03333333333333333,0.0,True,True
19,7,58,0.017241379310344827,0.0,True,True
19,8,58,0.0,0.0,True,True
19,9,58,0.0,0.0,True,True
19,10,59,0.0,0.0,True,True
19,11,59,0.0,0.0,True,True
19,12,59,0.01694915254237288,0.0,True,True
20,2,58,0.017241379310344827,0.0,True,True
20,3,56,0.03571428571428571,0.0,True,True
20,4,54,0.0,0.0,True,True
20,5,54,0.0,0.0,True,True
20,6,54,0.0,0.0,True,True
20,7,54,0.037037037037037035,0.037037037037037035,True,True
20,8,52,0.0,0.0,True,True
20,9,52,0.0,0.0,True,True
20,10,52,0.0,0.0,True,True
20,11,52,0.0,0.0,True,True
20,12,52,0.0,0.0,True,True
21,2,104,0.009615384615384616,0.0,True,True
21,3,105,0.009523809523809525,0.0,True,True
21,4,101,0.0,0.0,True,True
21,5,101,0.009900990099009901,0.0,True,True
21,6,103,0.0,0.0,True,True
21,7,103,0.0,0.0,True,True
21,8,103,0.0,0.0,True,True
21,9,102,0.029411764705882353,0.029411764705882353,True,True
21,10,99,0.0,0.0,True,True
21,11,99,0.010101010101010102,0.010101010101010102,True,True
21,12,97,0.0,0.0,True,True
22,2,199,0.01507537688442211,0.0,True,True
22,3,194,0.0,0.0,True,True
22,4,196,0.015306122448979591,0.01020408163265306,True,True
22,5,193,0.0,0.0,True,True
22,6,189,0.0,0.0,True,True
22,7,189,0.0,0.0,True,True
22,8,189,0.0,0.0,True,True
22,9,190,0.0,0.0,True,True
22,10,191,0.0,0.0,True,True
22,11,191,0.005235602094240838,0.0,True,True
22,12,190,0.0,0.0,True,True
