MONTHCODE,number_of_valid_states,mean_exit_rate,p10_exit_rate,median_exit_rate,p90_exit_rate,mean_exit_to_uninsured_rate,p10_exit_to_uninsured_rate,median_exit_to_uninsured_rate,p90_exit_to_uninsured_rate
2,41,0.007904111457000831,0.0,0.00558659217877095,0.017241379310344827,0.002386211398207843,0.0,0.0,0.00625
3,41,0.006824634208079585,0.0,0.002079002079002079,0.015267175572519083,0.001821480617525149,0.0,0.0,0.005780346820809248
4,41,0.0052375371287553055,0.0,0.0,0.01282051282051282,0.002744133607003765,0.0,0.0,0.01020408163265306
5,41,0.010385926537109812,0.0,0.0,0.018691588785046728,0.0010906964764281406,0.0,0.0,0.004672897196261682
6,41,0.00721711612161347,0.0,0.0048543689320388345,0.016666666666666666,0.0032406553531213866,0.0,0.0,0.008
7,41,0.013822216271405991,0.0,0.0027548209366391185,0.037037037037037035,0.009005944312168003,0.0,0.0,0.032
8,40,0.005145131884517355,0.0,0.0,0.016329061595700706,0.0019075957224157392,0.0,0.0,0.008171774025432564
9,40,0.007512313158145753,0.0,0.0,0.020305711987127918,0.004047108844922081,0.0,0.0,0.0178159959926532
10,40,0.012647083515451057,0.0,0.0008992805755395684,0.018201516793066107,0.004363864043989294,0.0,0.0,0.009167071393880533
11,39,0.005969607472349139,0.0,0.0,0.01748447204968944,0.002777611813071509,0.0,0.0,0.00799035127393337
12,39,0.006079500592258067,0.0,0.002828854314002829,0.01820728291316527,0.0027827946344143916,0.0,0.0,0.009050880626223123
