state_abbr,state_name,cms_reporting_month,renewals_due_k,renewed_total_k,procedural_terminations_k,ineligible_terminations_k,pending_renewals_k,renewal_success_rate_due_pct,procedural_burden_due_pct,ex_parte_rate_due_pct,pending_rate_due_pct,termination_rate_due_pct,completion_rate_due_pct,burden_index_simple
KS,Kansas,3,,,,,,,,,,,,
KS,Kansas,4,69.7,18.1,46.0,5.5,0.1,26.0,66.0,4.4,0.1,73.9,99.9,3.74
KS,Kansas,5,69.2,25.6,27.1,7.8,8.6,37.0,39.2,5.1,12.5,50.5,87.5,3.87
KS,Kansas,6,68.4,16.3,0.6,5.6,45.8,23.8,0.9,4.4,67.0,9.1,33.0,6.5
KS,Kansas,7,76.4,20.0,0.7,6.9,48.8,26.2,1.0,4.4,63.9,10.0,36.1,6.3
KS,Kansas,8,16.8,16.3,0.0,0.1,0.4,96.8,0.0,96.7,2.4,0.9,97.6,-6.81
KS,Kansas,9,36.5,21.1,3.1,5.7,6.6,57.8,8.6,34.4,18.2,24.1,81.8,0.26
KS,Kansas,10,35.7,23.4,3.4,4.4,4.5,65.5,9.6,40.4,12.6,21.9,87.4,-0.47
KS,Kansas,11,40.1,26.9,3.2,5.8,4.2,67.1,7.9,45.4,10.5,22.4,89.5,-1.31
KS,Kansas,12,24.1,16.9,2.4,3.0,1.8,70.2,10.0,44.9,7.4,22.4,92.6,-1.24
NC,North Carolina,3,,,,,,,,,,,,
NC,North Carolina,4,,,,,,,,,,,,
NC,North Carolina,5,,,,,,,,,,,,
NC,North Carolina,6,185.1,140.5,31.3,5.3,8.0,75.9,16.9,75.3,4.3,19.8,95.7,-4.27
NC,North Carolina,7,188.4,133.8,32.5,4.3,17.9,71.0,17.2,70.5,9.5,19.5,90.5,-3.43
NC,North Carolina,8,182.5,128.1,28.9,4.4,21.0,70.2,15.9,69.7,11.5,18.3,88.5,-3.26
NC,North Carolina,9,182.9,131.8,27.5,4.1,19.6,72.0,15.0,71.6,10.7,17.3,89.3,-3.5
NC,North Carolina,10,202.0,166.3,29.2,4.2,2.3,82.3,14.4,81.8,1.2,16.5,98.8,-5.13
NC,North Carolina,11,188.6,138.8,19.6,3.6,26.7,73.6,10.4,73.0,14.1,12.3,85.9,-3.51
NC,North Carolina,12,275.6,206.7,15.0,4.2,49.7,75.0,5.4,74.6,18.1,6.9,81.9,-3.51
OR,Oregon,3,,,,,,,,,,,,
OR,Oregon,4,,,,,,,,,,,,
OR,Oregon,5,,,,,,,,,,,,
OR,Oregon,6,,,,,,,,,,,,
OR,Oregon,7,118.6,112.9,0.4,5.3,0.0,95.2,0.3,95.2,0.0,4.8,100.0,-6.99
OR,Oregon,8,115.6,109.9,0.4,5.3,0.0,95.1,0.3,95.1,0.0,4.9,100.0,-6.98
OR,Oregon,9,122.0,101.0,8.6,12.0,0.4,82.8,7.0,56.0,0.3,16.8,99.7,-2.7
OR,Oregon,10,108.7,94.9,2.6,10.8,0.5,87.3,2.4,51.4,0.4,12.3,99.6,-2.18
OR,Oregon,11,105.7,89.4,5.0,10.8,0.5,84.6,4.8,70.3,0.5,15.0,99.5,-4.42
OR,Oregon,12,127.3,110.9,4.4,11.5,0.5,87.1,3.4,72.6,0.4,12.5,99.6,-4.62
TX,Texas,3,,,,,,,,,,,,
TX,Texas,4,,,,,,,,,,,,
TX,Texas,5,785.3,149.7,465.9,119.9,49.8,19.1,59.3,0.5,6.3,74.6,93.7,3.92
TX,Texas,6,0.0,0.0,0.0,0.0,0.0,,,,,,,
TX,Texas,7,176.1,101.9,47.6,14.0,12.6,57.9,27.0,11.2,7.2,35.0,92.8,3.09
TX,Texas,8,769.7,214.8,308.0,144.1,102.8,27.9,40.0,2.4,13.4,58.7,86.6,3.71
TX,Texas,9,719.9,290.1,171.4,192.6,65.8,40.3,23.8,2.2,9.1,50.6,90.9,2.91
TX,Texas,10,363.6,192.2,123.4,39.0,9.0,52.9,33.9,9.0,2.5,44.7,97.5,2.97
TX,Texas,11,1080.0,440.7,366.3,135.8,137.3,40.8,33.9,4.2,12.7,46.5,87.3,3.87
TX,Texas,12,235.2,124.4,68.0,37.3,5.5,52.9,28.9,7.3,2.3,44.8,97.7,2.78
UT,Utah,3,,,,,,,,,,,,
UT,Utah,4,40.4,17.8,20.0,2.6,0.0,44.2,49.5,15.5,0.0,55.8,100.0,2.46
UT,Utah,5,44.2,19.7,21.8,2.8,0.0,44.5,49.2,22.6,0.0,55.5,100.0,1.62
UT,Utah,6,29.2,12.1,16.3,0.8,0.0,41.6,55.7,24.0,0.0,58.4,100.0,1.74
UT,Utah,7,29.6,12.0,16.8,0.7,0.0,40.7,56.8,24.2,0.0,59.3,100.0,1.74
UT,Utah,8,31.9,13.4,17.2,1.2,0.0,42.0,54.1,22.9,0.0,58.0,100.0,1.78
UT,Utah,9,33.4,14.4,17.6,1.4,0.0,43.0,52.7,21.7,0.0,57.0,100.0,1.88
UT,Utah,10,35.5,14.2,19.8,1.4,0.0,40.2,55.8,20.5,0.0,59.8,100.0,2.06
UT,Utah,11,34.5,14.7,18.3,1.5,0.0,42.6,53.0,23.0,0.0,57.4,100.0,1.72
UT,Utah,12,37.2,16.9,18.5,1.8,0.0,45.3,49.8,20.3,0.0,54.7,100.0,2.0
