month,number_of_states,mean_procedural_burden_due,p10_procedural_burden_due,median_procedural_burden_due,p90_procedural_burden_due,mean_ex_parte_rate_due,p10_ex_parte_rate_due,median_ex_parte_rate_due,p90_ex_parte_rate_due,mean_pending_rate_due,p10_pending_rate_due,median_pending_rate_due,p90_pending_rate_due
3,51,0.16214851033677172,0.0,0.14916561238628834,0.33468333903393016,0.2712731882671532,0.10642613569960832,0.29716990846715463,0.41540286467469695,0.009679457720588236,0.0,0.0,0.027102481617647067
4,51,0.30171286473381603,0.12793033307543583,0.3185888378171513,0.460494715825342,0.24426572631476917,0.05504532328922448,0.1997483323419892,0.4682539447776162,0.02461470015295594,0.0,0.010131238191462432,0.07014552508726292
5,51,0.29110772059120027,0.12634636333315324,0.29606973543355253,0.46957721431829713,0.2736628882802251,0.05623683336146154,0.23978990155817434,0.5412763630650592,0.04504049534352847,0.0,0.016622005520520622,0.13568349485125702
6,51,0.2749911801264952,0.14091651249087625,0.26145058954878414,0.4252620850749033,0.2902116992272451,0.10595763549431346,0.2835761098354382,0.5224883267353746,0.05772325330609491,0.0,0.02393778275267012,0.12721137731090792
7,51,0.26388112965051713,0.14813586148769967,0.2526329180924057,0.40399416901440377,0.31823221053434503,0.11121373572965855,0.29586913148317195,0.5614474061876871,0.05598383538989376,0.0,0.027997165774778558,0.11400099770421285
8,51,0.25023005232525375,0.06973564266180492,0.22448979591836735,0.40020734651031664,0.3473528320620632,0.1192391384073739,0.3119146995896321,0.5982846686843635,0.06091351337950879,0.0,0.025485530052966915,0.15570137101360162
9,51,0.19791854700801867,0.016326920322719245,0.19848591023446566,0.36414663889326493,0.37658210814904103,0.15590915338653472,0.35071562849596916,0.6610589790367158,0.07644126872525399,0.0,0.05190014806348547,0.1975004601186668
10,51,0.19269647067802714,0.023791780519444673,0.16735893965557475,0.3427843803056027,0.41039616210936625,0.17471251519512637,0.3848093415092459,0.6630516296509951,0.06650827928942896,0.0,0.022815056829980758,0.20393947781160623
11,51,0.18803636035389473,0.03183353618453168,0.16632315227755962,0.3391411590528843,0.43377799070548445,0.1886300237627854,0.4076123871097582,0.7296865969979905,0.06220141440492188,0.0,0.02001756379791301,0.21956970531088082
12,51,0.1836952895567048,0.041295926911791736,0.17744539054307015,0.324455221140332,0.4599833140223507,0.2029515335609258,0.4472990082295843,0.7551735375590679,0.058102129488661725,0.0,0.018109677188828766,0.1892522010188769
