tehc_st_fips,baseline_weight_sum,baseline_exit_rate,baseline_exit_to_uninsured_rate,baseline_exit_tertile
1,9235768.140932718,0.003386707524896911,0.0006029150820840819,high
2,1857744.0873117999,0.0,0.0,low
4,12922248.7268369,0.0038221823870116718,0.0025761786404221855,high
5,6174503.6308061,0.0,0.0,low
6,79531112.21410349,0.003490818298825038,0.0011717814641296288,high
8,7696793.54659718,0.00724598280992697,0.0019236625932036175,high
9,6040346.444548501,0.0,0.0,low
10,2403633.1934802,0.0,0.0,low
11,867811.4550303,0.0,0.0,low
12,34126167.9281219,0.0024605795102650195,0.0019844448539501455,mid
13,15289280.7802635,0.0006389641532589889,0.0006389641532589889,mid
15,1349133.6446439999,0.0,0.0,low
16,2048738.5790682998,0.0,0.0,low
17,21754603.2253382,0.004957328728771767,0.0,high
18,10612249.78129,0.003179841962577515,0.0015080931048020016,mid
19,3948904.6366965,0.003622385103699681,0.0,high
20,3795686.7613183,0.002383182234684258,0.0,mid
21,9696302.6312739,0.0007812095544716737,0.0007812095544716737,mid
22,12686258.4694724,0.006348573725547742,0.003214111441061926,high
23,1947843.21983,0.0,0.0,low
24,7982321.8250468,0.0,0.0,low
25,11167051.869066,0.00409823146886912,0.0,high
26,16308394.4454382,0.0013724083704610575,0.0010898701533290282,mid
27,7356131.3836943,0.003425077106119703,0.0,high
28,6312750.870058529,0.0016611691433979833,0.0016611691433979833,mid
29,8923365.0280721,0.0020840786129554868,0.0011291635655721812,mid
30,1252937.45779225,0.017206516198252773,0.011269723446835671,high
31,1900086.4284325,0.0,0.0,low
32,5566853.6971755,0.00393120340008283,0.00231072732122036,high
33,2104637.4443965,0.011921275937098273,0.0,high
34,12471311.9367894,0.0015986958025791128,0.0015986958025791128,mid
35,5050999.0630968,0.0064022571465046935,0.0,high
36,49174690.963581905,0.0020068946625061107,0.0006148831239507508,mid
37,15197511.3528747,0.0028422752265902613,0.0,mid
38,488884.1796356,0.0,0.0,low
39,24032229.8112414,0.0023107643683951363,0.0,mid
40,6859311.6111988,0.0,0.0,low
41,5989021.0611427,0.0,0.0,low
42,19266453.5609046,0.007481287564260603,0.005854569859908559,high
44,2111489.7080736,0.0,0.0,low
45,8325860.1648145,0.0,0.0,low
46,886418.660776,0.0,0.0,low
47,10682305.001313701,0.0,0.0,low
48,40141830.9556672,0.0014334070468421571,0.00028377631846391357,mid
49,2819957.8860839,0.005579534852114411,0.005579534852114411,high
50,588959.3277075,0.0,0.0,mid
51,11865922.4331899,0.0038069904979276085,0.00048647138379685203,high
53,11447329.08028207,0.011122717959765565,0.00043542762394991604,high
54,3963064.1981196003,0.001261969004002763,0.0,mid
55,10251753.517813,0.0,0.0,mid
56,524482.5687652,0.0,0.0,mid
