dataset,reference_year,stress_test,window,window_role,months_requested,months_used,months_used_count,min_state_cells_per_used_month,exposure_family,exposure_variant,exposure_kind,exposure_role,alignment,outcome,outcome_kind,outcome_label,support_rows,support_weight,weighted_corr,high_minus_low,signed_corr,signed_high_minus_low,direction_flag,support_flag
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,pending_backlog_component,pending_rate,component,comparison,same,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21847,208140509.34,0.1504,0.0035,0.1504,0.0035,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,pending_backlog_component,pending_rate,component,comparison,same,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21794,207450502.08,0.1185,0.0027,0.1185,0.0027,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,pending_backlog_component,pending_rate,component,comparison,same,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21794,207450502.08,0.1193,0.0028,0.1193,0.0028,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,51,pending_backlog_component,pending_rate,component,comparison,same,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",14519,138213910.95,0.113,0.0024,0.113,0.0024,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,pending_backlog_component,pending_rate,component,comparison,same,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",21794,207450502.08,-0.0695,0.0007,0.0695,-0.0007,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,pending_backlog_component,pending_rate,component,comparison,lag1,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21726,207089597.15,0.0648,0.0028,0.0648,0.0028,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,pending_backlog_component,pending_rate,component,comparison,lag1,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21673,206399589.89,0.0386,0.0021,0.0386,0.0021,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,pending_backlog_component,pending_rate,component,comparison,lag1,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21673,206399589.89,0.0374,0.0023,0.0374,0.0023,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,50,pending_backlog_component,pending_rate,component,comparison,lag1,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",14398,137162998.75,0.0179,0.0017,0.0179,0.0017,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,pending_backlog_component,pending_rate,component,comparison,lag1,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",21673,206399589.89,-0.0332,0.0011,0.0332,-0.0011,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,pending_backlog_component,pending_rate,component,comparison,lag2,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21047,201406281.0,0.0463,0.0019,0.0463,0.0019,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,pending_backlog_component,pending_rate,component,comparison,lag2,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",20994,200716273.73,0.0164,0.0012,0.0164,0.0012,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,pending_backlog_component,pending_rate,component,comparison,lag2,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",20994,200716273.73,0.0164,0.0012,0.0164,0.0012,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,49,pending_backlog_component,pending_rate,component,comparison,lag2,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",13721,131518143.66,0.0238,0.0007,0.0238,0.0007,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,pending_backlog_component,pending_rate,component,comparison,lag2,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",20994,200716273.73,0.0064,0.0019,-0.0064,-0.0019,unexpected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,pending_backlog_component,pending_rate,component,comparison,lead1,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21847,208140509.34,0.1681,0.0025,0.1681,0.0025,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,pending_backlog_component,pending_rate,component,comparison,lead1,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21794,207450502.08,0.1331,0.0017,0.1331,0.0017,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,pending_backlog_component,pending_rate,component,comparison,lead1,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21794,207450502.08,0.1296,0.0017,0.1296,0.0017,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,51,pending_backlog_component,pending_rate,component,comparison,lead1,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",14519,138213910.95,0.1484,0.0007,0.1484,0.0007,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,pending_backlog_component,pending_rate,component,comparison,lead1,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",21794,207450502.08,0.0787,0.0017,-0.0787,-0.0017,unexpected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,ex_parte_component,ex_parte_renewal_rate,component,comparison,same,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21847,208140509.34,-0.0898,-0.0017,0.0898,0.0017,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,ex_parte_component,ex_parte_renewal_rate,component,comparison,same,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21794,207450502.08,-0.0901,-0.0017,0.0901,0.0017,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,ex_parte_component,ex_parte_renewal_rate,component,comparison,same,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21794,207450502.08,-0.0941,-0.0019,0.0941,0.0019,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,51,ex_parte_component,ex_parte_renewal_rate,component,comparison,same,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",14519,138213910.95,-0.1769,-0.0022,0.1769,0.0022,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,51,ex_parte_component,ex_parte_renewal_rate,component,comparison,same,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",21794,207450502.08,0.0299,0.0043,0.0299,0.0043,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,ex_parte_component,ex_parte_renewal_rate,component,comparison,lag1,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21726,207089597.15,-0.0277,-0.0009,0.0277,0.0009,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,ex_parte_component,ex_parte_renewal_rate,component,comparison,lag1,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",21673,206399589.89,-0.0311,-0.001,0.0311,0.001,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,ex_parte_component,ex_parte_renewal_rate,component,comparison,lag1,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",21673,206399589.89,-0.0341,-0.0011,0.0341,0.0011,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9",2,50,ex_parte_component,ex_parte_renewal_rate,component,comparison,lag1,persistent_uninsured_h3,harm,"pure Medicaid at t, uninsured through t+3",14398,137162998.75,-0.1142,-0.0023,0.1142,0.0023,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,50,ex_parte_component,ex_parte_renewal_rate,component,comparison,lag1,broad_exit_resolved_insured_h2,contrast,"broad Medicaid exit at t+1, insured by t+2",21673,206399589.89,0.03,0.0034,0.03,0.0034,expected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,ex_parte_component,ex_parte_renewal_rate,component,comparison,lag2,medicaid_exit_to_uninsured_next,harm,"pure Medicaid at t, uninsured at t+1",21047,201406281.0,0.0202,0.0013,-0.0202,-0.0013,unexpected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,ex_parte_component,ex_parte_renewal_rate,component,comparison,lag2,persistent_uninsured_h2,harm,"pure Medicaid at t, uninsured at t+1 and t+2",20994,200716273.73,0.0162,0.0013,-0.0162,-0.0013,unexpected,True
SIPP,2023,distributed_timing,core_aug_oct_2023,primary,"8,9,10","8,9,10",3,49,ex_parte_component,ex_parte_renewal_rate,component,comparison,lag2,broad_exit_persistent_uninsured_h2,harm,"broad Medicaid exit at t+1, uninsured at t+2",20994,200716273.73,0.0162,0.0013,-0.0162,-0.0013,unexpected,True
