dataset,reference_year,window,exposure_family,exposure_variant,alignment,outcome,support_rows,support_weight,months_used,weighted_corr,high_minus_low,direction_flag,label
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,lead1,persistent_uninsured_h3,28991,276064688.14,4,0.1612,0.0023,expected,"pure Medicaid at t, uninsured through t+3"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,lag2,persistent_uninsured_h3,17246,166142679.3,3,0.0992,0.0019,expected,"pure Medicaid at t, uninsured through t+3"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,same,broad_exit_resolved_insured_h2,21794,207450502.08,3,-0.0684,-0.0026,expected,"broad Medicaid exit at t+1, insured by t+2"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,lag1,broad_exit_resolved_insured_h2,21673,206399589.89,3,-0.0457,-0.0037,expected,"broad Medicaid exit at t+1, insured by t+2"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,lead1,broad_exit_resolved_insured_h2,21794,207450502.08,3,0.0891,0.0001,unexpected,"broad Medicaid exit at t+1, insured by t+2"
SIPP,2023,core_aug_oct_2023,backlog_automation_composite,backlog_automation_index,lag2,broad_exit_resolved_insured_h2,20994,200716273.73,3,0.0095,-0.0029,unexpected,"broad Medicaid exit at t+1, insured by t+2"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,same,broad_exit_resolved_insured_h2,35615,340051538.03,5,-0.0626,-0.0016,expected,"broad Medicaid exit at t+1, insured by t+2"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,lag1,broad_exit_resolved_insured_h2,31850,305202233.09,5,-0.0395,-0.0023,expected,"broad Medicaid exit at t+1, insured by t+2"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,lead1,broad_exit_resolved_insured_h2,36296,345640037.5,5,0.0313,-0.0002,unexpected,"broad Medicaid exit at t+1, insured by t+2"
SIPP,2023,mature_jun_oct_2023,backlog_automation_composite,backlog_automation_index,lag2,broad_exit_resolved_insured_h2,24524,235411604.32,4,0.0054,-0.0029,unexpected,"broad Medicaid exit at t+1, insured by t+2"
