exposure_family,exposure_variant,alignment,outcome,pre_2021_contrast,pre_2022_contrast,unwinding_2023_contrast,max_pre_abs_contrast,same_direction_big_pre,falsification_pass_outcome
renewal_workload_burden,renewal_due_count,lag2,medicaid_exit_to_uninsured_next,0.0003,0.0002,0.0001,0.0003,True,False
pending_backlog_burden,pending_count,same,medicaid_exit_next,-0.0015,-0.0007,0.0016,0.0015,False,True
pending_backlog_burden,pending_count,same,medicaid_exit_to_uninsured_next,-0.0005,-0.0008,0.0005,0.0008,False,False
pending_backlog_burden,pending_count,lag1,medicaid_exit_next,-0.0015,-0.0008,0.0015,0.0015,False,False
pending_backlog_burden,pending_count,lag1,medicaid_exit_to_uninsured_next,-0.0005,-0.0008,0.0005,0.0008,False,False
pending_backlog_burden,pending_count,lead1,medicaid_exit_next,-0.0013,-0.0008,0.0013,0.0013,False,False
pending_backlog_burden,pending_count,lead1,medicaid_exit_to_uninsured_next,-0.0005,-0.0008,0.0004,0.0008,False,False
pending_backlog_burden,pending_count,lag2,medicaid_exit_next,-0.0018,-0.0008,0.0011,0.0018,False,False
pending_backlog_burden,pending_count,lag2,medicaid_exit_to_uninsured_next,-0.0007,-0.0009,0.0002,0.0009,False,False
pending_backlog_burden,pending_rate,same,medicaid_exit_next,-0.0018,-0.0008,0.0011,0.0018,False,False
pending_backlog_burden,pending_rate,same,medicaid_exit_to_uninsured_next,-0.0005,-0.0006,0.001,0.0006,False,True
pending_backlog_burden,pending_rate,lag1,medicaid_exit_next,-0.0018,-0.0008,0.0011,0.0018,False,False
pending_backlog_burden,pending_rate,lag1,medicaid_exit_to_uninsured_next,-0.0005,-0.0006,0.001,0.0006,False,True
pending_backlog_burden,pending_rate,lead1,medicaid_exit_next,-0.0011,-0.0008,0.0015,0.0011,False,True
pending_backlog_burden,pending_rate,lead1,medicaid_exit_to_uninsured_next,-0.0003,-0.0006,0.0011,0.0006,False,True
pending_backlog_burden,pending_rate,lag2,medicaid_exit_next,-0.0023,-0.0009,0.0016,0.0023,False,False
pending_backlog_burden,pending_rate,lag2,medicaid_exit_to_uninsured_next,-0.0013,-0.001,0.0009,0.0013,False,False
ex_parte_renewal_relief,ex_parte_renewal_rate,same,medicaid_exit_next,0.0001,0.0012,-0.0018,0.0012,False,True
ex_parte_renewal_relief,ex_parte_renewal_rate,same,medicaid_exit_to_uninsured_next,-0.0013,-0.0006,-0.0014,0.0013,False,True
ex_parte_renewal_relief,ex_parte_renewal_rate,lag1,medicaid_exit_next,-0.0002,0.0017,0.0011,0.0017,False,False
ex_parte_renewal_relief,ex_parte_renewal_rate,lag1,medicaid_exit_to_uninsured_next,-0.0012,-0.0007,-0.0016,0.0012,False,True
ex_parte_renewal_relief,ex_parte_renewal_rate,lead1,medicaid_exit_next,0.0,0.0013,-0.0016,0.0013,False,True
