source_label,reference_year,baseline_exit_tertile,states,eligible_weight_sum,weighted_exit_rate,weighted_exit_to_uninsured_rate
2021_pre,2021,high,17,114376361.62603691,0.004676406829714548,0.0017339813022776943
2021_pre,2021,low,17,32161873.208235897,0.0,0.0
2021_pre,2021,mid,17,126159150.4415019,0.0012488607241410996,0.0005819198857623982
2022_pre,2022,high,17,111297601.20962231,0.00526597257261578,0.0013978522676609984
2022_pre,2022,low,17,35753579.6869175,0.0,0.0
2022_pre,2022,mid,17,135250882.41689444,0.0023505276116304965,0.0009431193763602871
2023_unwinding,2023,high,17,115381730.92473707,0.005125240984230344,0.002270088091658579
2023_unwinding,2023,low,17,33961732.6429669,0.00636574502088223,0.00411394119876077
2023_unwinding,2023,mid,17,127586080.80668133,0.01014523990063355,0.0042049451559241354
2021_pre,2021,high_minus_low,34,146538234.8342728,0.004676406829714548,0.0017339813022776943
2022_pre,2022,high_minus_low,34,147051180.8965398,0.00526597257261578,0.0013978522676609984
2023_unwinding,2023,high_minus_low,34,149343463.56770396,-0.0012405040366518863,-0.0018438531071021912
