outcome,outcome_role,model,group_family,group_label,rows,weight_sum,observed_rate,mean_pred,calibration_error,event_count_unweighted,event_weighted
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,age_band,age_26_44,4104,42203009.68,0.002677,0.001222,-0.001455,11,112997.11
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,age_band,age_26_44,4104,42203009.68,0.002677,0.001408,-0.00127,11,112997.11
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,age_band,age_26_44,4104,42203009.68,0.002677,0.00121,-0.001468,11,112997.11
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,age_band,age_45_64,4206,37064547.4,0.002581,0.001093,-0.001488,12,95655.29
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,age_band,age_45_64,4206,37064547.4,0.002581,0.000635,-0.001945,12,95655.29
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,age_band,age_45_64,4206,37064547.4,0.002581,0.00059,-0.001991,12,95655.29
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,age_band,age_45_64,4206,37064547.4,0.002581,0.000748,-0.001833,12,95655.29
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,age_band,age_65_plus,3266,20716291.06,0.000391,0.001084,0.000693,1,8099.83
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,age_band,age_65_plus,3266,20716291.06,0.000391,0.000665,0.000274,1,8099.83
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,age_band,age_65_plus,3266,20716291.06,0.000391,0.0,-0.000391,1,8099.83
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,age_band,age_65_plus,3266,20716291.06,0.000391,0.000649,0.000258,1,8099.83
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,female_group,female,12122,113490741.69,0.002594,0.001062,-0.001532,32,294381.54
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,female_group,female,12122,113490741.69,0.002594,0.001309,-0.001284,32,294381.54
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,female_group,female,12122,113490741.69,0.002594,0.001387,-0.001206,32,294381.54
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,female_group,female,12122,113490741.69,0.002594,0.00119,-0.001404,32,294381.54
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,female_group,male,9705,94649767.65,0.003878,0.00117,-0.002708,34,367010.01
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,female_group,male,9705,94649767.65,0.003878,0.000785,-0.003093,34,367010.01
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,female_group,male,9705,94649767.65,0.003878,0.00072,-0.003157,34,367010.01
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,female_group,male,9705,94649767.65,0.003878,0.000904,-0.002973,34,367010.01
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,foreign_born_group,foreign_born,3898,33899378.85,0.002416,0.001002,-0.001414,9,81911.97
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,foreign_born_group,foreign_born,3898,33899378.85,0.002416,0.000897,-0.001519,9,81911.97
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,foreign_born_group,foreign_born,3898,33899378.85,0.002416,0.000915,-0.001501,9,81911.97
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,foreign_born_group,foreign_born,3898,33899378.85,0.002416,0.000941,-0.001475,9,81911.97
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,foreign_born_group,us_born,17929,174241130.49,0.003326,0.001132,-0.002193,57,579479.58
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,foreign_born_group,us_born,17929,174241130.49,0.003326,0.001105,-0.002221,57,579479.58
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,foreign_born_group,us_born,17929,174241130.49,0.003326,0.001117,-0.002209,57,579479.58
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,foreign_born_group,us_born,17929,174241130.49,0.003326,0.001083,-0.002243,57,579479.58
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,household_child_group,household_has_child,12999,132354966.2,0.00348,0.001124,-0.002355,45,460546.47
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,household_child_group,household_has_child,12999,132354966.2,0.00348,0.001231,-0.002249,45,460546.47
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,household_child_group,household_has_child,12999,132354966.2,0.00348,0.001284,-0.002196,45,460546.47
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,household_child_group,household_has_child,12999,132354966.2,0.00348,0.001163,-0.002316,45,460546.47
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,household_child_group,household_no_child,8828,75785543.15,0.00265,0.001088,-0.001562,21,200845.08
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,household_child_group,household_no_child,8828,75785543.15,0.00265,0.000791,-0.001859,21,200845.08
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,household_child_group,household_no_child,8828,75785543.15,0.00265,0.000736,-0.001915,21,200845.08
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,household_child_group,household_no_child,8828,75785543.15,0.00265,0.000879,-0.001771,21,200845.08
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,noncitizen_group,citizen,20202,193767581.0,0.003047,0.00112,-0.001927,58,590397.56
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,noncitizen_group,citizen,20202,193767581.0,0.003047,0.001069,-0.001978,58,590397.56
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,noncitizen_group,citizen,20202,193767581.0,0.003047,0.001096,-0.001951,58,590397.56
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,noncitizen_group,citizen,20202,193767581.0,0.003047,0.001064,-0.001983,58,590397.56
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,noncitizen_group,noncitizen,1625,14372928.34,0.004939,0.000987,-0.003953,8,70993.99
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,noncitizen_group,noncitizen,1625,14372928.34,0.004939,0.001102,-0.003838,8,70993.99
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,noncitizen_group,noncitizen,1625,14372928.34,0.004939,0.000923,-0.004017,8,70993.99
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,noncitizen_group,noncitizen,1625,14372928.34,0.004939,0.001001,-0.003939,8,70993.99
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,pov_band,missing,71,646247.4,0.0,0.000772,0.000772,0,0.0
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,pov_band,missing,71,646247.4,0.0,0.00198,0.00198,0,0.0
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,pov_band,missing,71,646247.4,0.0,0.001376,0.001376,0,0.0
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,pov_band,missing,71,646247.4,0.0,0.00128,0.00128,0,0.0
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,pov_band,pov_1_2,5912,55896112.6,0.002367,0.0011,-0.001267,17,132306.67
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,pov_band,pov_1_2,5912,55896112.6,0.002367,0.000864,-0.001503,17,132306.67
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,pov_band,pov_1_2,5912,55896112.6,0.002367,0.001008,-0.001359,17,132306.67
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,pov_band,pov_1_2,5912,55896112.6,0.002367,0.001043,-0.001324,17,132306.67
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,pov_band,pov_2_4,5853,56662002.03,0.006207,0.001073,-0.005134,30,351680.97
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,pov_band,pov_2_4,5853,56662002.03,0.006207,0.001222,-0.004984,30,351680.97
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,pov_band,pov_2_4,5853,56662002.03,0.006207,0.00102,-0.005187,30,351680.97
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,pov_band,pov_2_4,5853,56662002.03,0.006207,0.001118,-0.005089,30,351680.97
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,pov_band,pov_4_plus,2707,29321355.96,0.004588,0.001297,-0.003291,12,134527.3
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,pov_band,pov_4_plus,2707,29321355.96,0.004588,0.001108,-0.00348,12,134527.3
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,pov_band,pov_4_plus,2707,29321355.96,0.004588,0.001562,-0.003026,12,134527.3
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,pov_band,pov_4_plus,2707,29321355.96,0.004588,0.000813,-0.003775,12,134527.3
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,pov_band,pov_lt_1,7284,65614791.35,0.000653,0.001073,0.00042,7,42876.62
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,pov_band,pov_lt_1,7284,65614791.35,0.000653,0.001091,0.000438,7,42876.62
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,pov_band,pov_lt_1,7284,65614791.35,0.000653,0.000988,0.000334,7,42876.62
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,pov_band,pov_lt_1,7284,65614791.35,0.000653,0.001133,0.000479,7,42876.62
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,snap_group,snap_no,14476,139666118.32,0.004163,0.001112,-0.003051,56,581387.46
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,snap_group,snap_no,14476,139666118.32,0.004163,0.00111,-0.003053,56,581387.46
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,snap_group,snap_no,14476,139666118.32,0.004163,0.001141,-0.003022,56,581387.46
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,snap_group,snap_no,14476,139666118.32,0.004163,0.001037,-0.003125,56,581387.46
medicaid_exit_to_uninsured_next,benchmark_harm,naive_state_baseline,snap_group,snap_yes,7351,68474391.02,0.001168,0.00111,-5.8e-05,10,80004.09
medicaid_exit_to_uninsured_next,benchmark_harm,weighted_logistic,snap_group,snap_yes,7351,68474391.02,0.001168,0.000992,-0.000176,10,80004.09
medicaid_exit_to_uninsured_next,benchmark_harm,shallow_tree,snap_group,snap_yes,7351,68474391.02,0.001168,0.000968,-0.0002,10,80004.09
medicaid_exit_to_uninsured_next,benchmark_harm,compact_boosting,snap_group,snap_yes,7351,68474391.02,0.001168,0.001106,-6.2e-05,10,80004.09
