exposure_family,exposure_variant,alignment,outcome,pre_2021_contrast,pre_2022_contrast,unwinding_2023_contrast,max_pre_abs_contrast,same_direction_big_pre,falsification_pass_outcome
pending_backlog_burden,pending_rate,same,medicaid_exit_to_uninsured_next,-0.0008,-0.0005,0.0033,0.0008,False,True
pending_backlog_burden,pending_rate,same,persistent_uninsured_h2,-0.0007,-0.0005,0.0027,0.0007,False,True
pending_backlog_burden,pending_rate,same,broad_exit_resolved_insured_h2,-0.0016,-0.0008,0.001,0.0016,True,False
pending_backlog_burden,pending_rate,lag1,medicaid_exit_to_uninsured_next,-0.0019,-0.0011,0.0028,0.0019,False,True
pending_backlog_burden,pending_rate,lag1,persistent_uninsured_h2,-0.0019,-0.0011,0.0022,0.0019,False,True
pending_backlog_burden,pending_rate,lag1,broad_exit_resolved_insured_h2,-0.0016,-0.0007,0.0012,0.0016,True,False
pending_backlog_burden,pending_rate,lead1,medicaid_exit_to_uninsured_next,-0.0008,-0.0003,0.0023,0.0008,False,True
pending_backlog_burden,pending_rate,lead1,persistent_uninsured_h2,-0.0007,-0.0003,0.0015,0.0007,False,True
pending_backlog_burden,pending_rate,lead1,broad_exit_resolved_insured_h2,-0.0015,-0.001,0.0005,0.0015,True,False
pending_backlog_burden,pending_rate,lag2,medicaid_exit_to_uninsured_next,-0.0019,-0.0012,0.0028,0.0019,False,True
pending_backlog_burden,pending_rate,lag2,persistent_uninsured_h2,-0.0018,-0.0012,0.0022,0.0018,False,True
pending_backlog_burden,pending_rate,lag2,broad_exit_resolved_insured_h2,-0.0014,-0.0004,0.0017,0.0014,False,True
manual_renewal_burden,renewal_form_rate,same,medicaid_exit_to_uninsured_next,0.0003,0.0001,0.0003,0.0003,False,True
manual_renewal_burden,renewal_form_rate,same,persistent_uninsured_h2,0.0003,0.0001,0.0003,0.0003,False,True
manual_renewal_burden,renewal_form_rate,same,broad_exit_resolved_insured_h2,-0.0,-0.0007,-0.0008,0.0007,False,True
manual_renewal_burden,renewal_form_rate,lag1,medicaid_exit_to_uninsured_next,0.0001,0.0003,0.0012,0.0003,False,True
manual_renewal_burden,renewal_form_rate,lag1,persistent_uninsured_h2,0.0001,0.0003,0.0012,0.0003,False,True
manual_renewal_burden,renewal_form_rate,lag1,broad_exit_resolved_insured_h2,-0.0002,-0.0007,-0.0022,0.0007,False,True
manual_renewal_burden,renewal_form_rate,lead1,medicaid_exit_to_uninsured_next,0.0004,0.0,0.0003,0.0004,True,False
manual_renewal_burden,renewal_form_rate,lead1,persistent_uninsured_h2,0.0003,0.0,0.0003,0.0003,True,False
manual_renewal_burden,renewal_form_rate,lead1,broad_exit_resolved_insured_h2,0.0002,-0.0008,-0.001,0.0008,False,True
manual_renewal_burden,renewal_form_rate,lag2,medicaid_exit_to_uninsured_next,-0.0001,0.0001,0.0012,0.0001,False,True
manual_renewal_burden,renewal_form_rate,lag2,persistent_uninsured_h2,-0.0001,0.0001,0.0012,0.0001,False,True
manual_renewal_burden,renewal_form_rate,lag2,broad_exit_resolved_insured_h2,-0.0009,-0.0021,-0.0028,0.0021,False,True
procedural_termination_burden,procedural_term_share,same,medicaid_exit_to_uninsured_next,-0.001,-0.0004,-0.0016,0.001,False,True
procedural_termination_burden,procedural_term_share,same,persistent_uninsured_h2,-0.001,-0.0004,-0.0016,0.001,False,True
procedural_termination_burden,procedural_term_share,same,broad_exit_resolved_insured_h2,0.001,0.0015,0.0016,0.0015,False,True
procedural_termination_burden,procedural_term_share,lag1,medicaid_exit_to_uninsured_next,-0.0012,-0.0003,0.0003,0.0012,False,False
procedural_termination_burden,procedural_term_share,lag1,persistent_uninsured_h2,-0.0012,-0.0003,-0.0004,0.0012,False,False
procedural_termination_burden,procedural_term_share,lag1,broad_exit_resolved_insured_h2,0.001,0.0015,0.0007,0.0015,False,False
procedural_termination_burden,procedural_term_share,lead1,medicaid_exit_to_uninsured_next,-0.0011,-0.0004,-0.0016,0.0011,False,True
procedural_termination_burden,procedural_term_share,lead1,persistent_uninsured_h2,-0.0011,-0.0004,-0.0016,0.0011,False,True
procedural_termination_burden,procedural_term_share,lead1,broad_exit_resolved_insured_h2,-0.0003,-0.0006,0.0006,0.0006,False,True
procedural_termination_burden,procedural_term_share,lag2,medicaid_exit_to_uninsured_next,-0.0011,-0.0008,0.0001,0.0011,False,False
procedural_termination_burden,procedural_term_share,lag2,persistent_uninsured_h2,-0.0011,-0.0008,-0.0006,0.0011,False,False
procedural_termination_burden,procedural_term_share,lag2,broad_exit_resolved_insured_h2,0.0013,0.0012,0.003,0.0013,False,True
ex_parte_renewal_relief,ex_parte_renewal_rate,same,medicaid_exit_to_uninsured_next,-0.0016,-0.0009,-0.0018,0.0016,False,True
ex_parte_renewal_relief,ex_parte_renewal_rate,same,persistent_uninsured_h2,-0.0015,-0.0009,-0.0018,0.0015,False,True
ex_parte_renewal_relief,ex_parte_renewal_rate,same,broad_exit_resolved_insured_h2,0.0001,0.0025,0.0027,0.0025,False,True
ex_parte_renewal_relief,ex_parte_renewal_rate,lag1,medicaid_exit_to_uninsured_next,-0.0019,-0.0008,-0.0014,0.0019,True,False
ex_parte_renewal_relief,ex_parte_renewal_rate,lag1,persistent_uninsured_h2,-0.0018,-0.0008,-0.0014,0.0018,True,False
ex_parte_renewal_relief,ex_parte_renewal_rate,lag1,broad_exit_resolved_insured_h2,-0.0005,0.002,0.0015,0.002,False,False
ex_parte_renewal_relief,ex_parte_renewal_rate,lead1,medicaid_exit_to_uninsured_next,-0.0016,-0.0007,-0.0021,0.0016,False,True
ex_parte_renewal_relief,ex_parte_renewal_rate,lead1,persistent_uninsured_h2,-0.0015,-0.0007,-0.0021,0.0015,False,True
ex_parte_renewal_relief,ex_parte_renewal_rate,lead1,broad_exit_resolved_insured_h2,-0.0001,0.002,-0.0013,0.002,False,False
ex_parte_renewal_relief,ex_parte_renewal_rate,lag2,medicaid_exit_to_uninsured_next,-0.0018,-0.0007,-0.0003,0.0018,True,False
ex_parte_renewal_relief,ex_parte_renewal_rate,lag2,persistent_uninsured_h2,-0.0018,-0.0007,-0.0003,0.0018,True,False
ex_parte_renewal_relief,ex_parte_renewal_rate,lag2,broad_exit_resolved_insured_h2,-0.001,0.0019,0.0038,0.0019,False,True
composite_burden_index,backlog_automation_index,same,medicaid_exit_to_uninsured_next,0.0009,0.0007,0.0023,0.0009,False,True
composite_burden_index,backlog_automation_index,same,persistent_uninsured_h2,0.0009,0.0007,0.0016,0.0009,False,True
composite_burden_index,backlog_automation_index,same,broad_exit_resolved_insured_h2,-0.0004,-0.0014,-0.0026,0.0014,False,True
composite_burden_index,backlog_automation_index,lag1,medicaid_exit_to_uninsured_next,0.0007,0.0006,0.0023,0.0007,False,True
composite_burden_index,backlog_automation_index,lag1,persistent_uninsured_h2,0.0007,0.0006,0.0017,0.0007,False,True
composite_burden_index,backlog_automation_index,lag1,broad_exit_resolved_insured_h2,-0.0002,-0.0013,-0.0025,0.0013,False,True
composite_burden_index,backlog_automation_index,lead1,medicaid_exit_to_uninsured_next,0.001,0.0006,0.0019,0.001,False,True
composite_burden_index,backlog_automation_index,lead1,persistent_uninsured_h2,0.001,0.0006,0.0013,0.001,False,True
composite_burden_index,backlog_automation_index,lead1,broad_exit_resolved_insured_h2,-0.0005,-0.0017,-0.003,0.0017,False,True
composite_burden_index,backlog_automation_index,lag2,medicaid_exit_to_uninsured_next,0.0007,0.0007,0.0022,0.0007,False,True
composite_burden_index,backlog_automation_index,lag2,persistent_uninsured_h2,0.0007,0.0007,0.0016,0.0007,False,True
composite_burden_index,backlog_automation_index,lag2,broad_exit_resolved_insured_h2,-0.0001,-0.0019,-0.0033,0.0019,False,True
composite_burden_index,backlog_form_index,same,medicaid_exit_to_uninsured_next,0.0008,0.0005,0.0028,0.0008,False,True
composite_burden_index,backlog_form_index,same,persistent_uninsured_h2,0.0008,0.0005,0.0022,0.0008,False,True
composite_burden_index,backlog_form_index,same,broad_exit_resolved_insured_h2,-0.0002,-0.0014,-0.0031,0.0014,False,True
composite_burden_index,backlog_form_index,lag1,medicaid_exit_to_uninsured_next,0.0002,0.0002,0.0019,0.0002,False,True
