ranking_type,rank,state_name,state_abbr,cms_reporting_month,renewals_due,procedural_terminations,ineligible_terminations,pending_renewals,ex_parte_renewed,procedural_burden_due,procedural_share_terminations,pending_rate_due,ex_parte_rate_due,termination_rate_due,completion_rate_due,burden_index_simple
top_procedural_burden_due,1,Idaho,ID,6,37946.0,25330.0,2531.0,0.0,4482.0,0.6675275391345596,0.9091561681203115,0.0,0.11811521636009066,0.7342275865703894,1.0,2.936880950446666
top_procedural_burden_due,2,Kansas,KS,4,69699.0,46031.0,5454.0,84.0,3033.0,0.6604255441254537,0.8940662328833641,0.0012051822838204278,0.043515688890801874,0.7386763081249372,0.9987948177161796,3.737304706084764
top_procedural_burden_due,3,Idaho,ID,8,49553.0,31183.0,6965.0,0.0,307.0,0.6292858151877787,0.8174216210548391,0.0,0.006195386757613061,0.7698423909753194,1.0,3.724500842257852
top_procedural_burden_due,4,Idaho,ID,7,35915.0,22019.0,2967.0,0.0,4880.0,0.6130864541278017,0.8812535019610982,0.0,0.1358763747737714,0.6956981762494779,1.0,2.5956823503002378
top_procedural_burden_due,5,Texas,TX,5,785287.0,465863.0,119907.0,49843.0,4291.0,0.5932391596957546,0.7953002031514076,0.06347106217217399,0.005464244282663536,0.7459311054429781,0.936528937827826,3.923141179145984
top_procedural_burden_due,6,Utah,UT,7,29571.0,16801.0,726.0,0.0,7145.0,0.5681579926279124,0.958578193644092,0.0,0.24162185925399884,0.5927090730783537,1.0,1.7383341419045417
top_procedural_burden_due,7,Oklahoma,OK,8,144181.0,81000.0,12099.0,1138.0,16392.0,0.5617938563333588,0.8700415686527245,0.00789285689515262,0.11369043077798045,0.6457092127256712,0.9921071431048474,2.8638045654807742
top_procedural_burden_due,8,Utah,UT,10,35456.0,19795.0,1411.0,0.0,7264.0,0.5582976083032491,0.9334622276714137,0.0,0.20487364620938628,0.5980934115523465,1.0,2.0608106717577925
top_procedural_burden_due,9,Utah,UT,6,29186.0,16252.0,796.0,0.0,6994.0,0.5568423216610704,0.9533083059596433,0.0,0.23963544165010622,0.5841156718974851,1.0,1.7383453631484578
top_procedural_burden_due,10,Utah,UT,8,31863.0,17243.0,1241.0,0.0,7293.0,0.5411605937921727,0.932860852629301,0.0,0.22888616891064872,0.5801085899005116,1.0,1.7773809893758532
top_procedural_burden_due,11,Utah,UT,11,34456.0,18271.0,1514.0,0.0,7939.0,0.5302704899001626,0.9234773818549407,0.0,0.2304097980032505,0.5742105874158346,1.0,1.7203989999380693
top_procedural_burden_due,12,Utah,UT,9,33414.0,17596.0,1440.0,0.0,7251.0,0.5266056144131203,0.9243538558520698,0.0,0.21700484826719338,0.5697013227988268,1.0,1.882687336843602
top_procedural_burden_due,13,Nevada,NV,7,78038.0,40025.0,2750.0,0.0,26205.0,0.512891155590866,0.9357101110461719,0.0,0.33579794459109663,0.5481303980112253,1.0,0.5336103108710923
top_procedural_burden_due,14,Idaho,ID,5,51008.0,26073.0,8181.0,0.0,3752.0,0.5111551129234629,0.7611665790856542,0.0,0.07355708908406525,0.6715417189460476,1.0,2.74733302297928
top_procedural_burden_due,15,Nevada,NV,8,68611.0,34568.0,3178.0,0.0,22391.0,0.5038259171269913,0.9158056482806125,0.0,0.32634708720176064,0.5501450204777659,1.0,0.5640726976052393
top_procedural_burden_due,16,Utah,UT,12,37201.0,18522.0,1824.0,0.0,7550.0,0.4978898416709228,0.9103509289295193,0.0,0.2029515335609258,0.5469207816994167,1.0,1.9956077770931033
top_procedural_burden_due,17,Oklahoma,OK,12,157487.0,78316.0,13305.0,1001.0,18567.0,0.4972854902309397,0.8547822005872017,0.006356080184396172,0.11789544533834538,0.581768653920641,0.9936439198156038,2.778349548526204
top_procedural_burden_due,18,Utah,UT,4,40411.0,20002.0,2561.0,0.0,6254.0,0.494964242409245,0.8864955901254266,0.0,0.1547598426171092,0.5583380762663631,1.0,2.4617883395418136
top_procedural_burden_due,19,Utah,UT,5,44238.0,21751.0,2815.0,0.0,9993.0,0.4916813599168136,0.8854107302776195,0.0,0.2258917672589177,0.5553144355531443,1.0,1.6212618530628973
