budget_k,targeted_value,uniform_value
0.05,-322.710644369724,-83.2110503756854
0.1,-281.036786963639,-83.2110503756854
0.15,-254.653537110339,-83.2110503756854
0.2,-235.139317791535,-83.2110503756854
0.25,-219.106278037127,-83.2110503756854
0.3,-205.418787441228,-83.2110503756854
0.35,-193.335211829999,-83.2110503756854
0.4,-182.331503081814,-83.2110503756854
0.45,-172.345089564779,-83.2110503756854
0.5,-163.107501264527,-83.2110503756854
