POVCAT,mean_cate,se,n
1,-97.0245982798765,1.85689425401775,3008
2,-90.3152750205537,2.99992509335509,1130
3,-89.0554481397566,1.61867217592798,3071
4,-102.550474016387,1.36857393151688,5886
5,-60.9693384518272,1.1047051936051,8154
