state,county_fips,county_name,rows,years_present,min_year,max_year,total_enrollment,min_enrollment,table1_missing_years,treatment_constructible_years,suppression_or_missing_any,drake_supplement_exclusion_flag,drake_supplement_exclusion_reason,included_drake_harmonized_sample,missing_crosswalk_flag_any,missing_current_plan_flag_any,missing_premium_flag_any,missing_county_mapping_flag_any,all_three_years,table1_complete_all_years,treatment_constructible_all_years,low_enrollment_rank,candidate_extra_if_forcing_to_2159_by_low_enrollment,candidate_discrepancy_reason
FL,12049,,3,3,2022,2024,6180.0,1561.0,0,3,False,False,,True,False,False,False,False,True,True,True,1434,False,included_by_current_sample_rule
FL,12051,,3,3,2022,2024,20273.0,5554.0,0,3,False,False,,True,False,False,False,False,True,True,True,1913,False,included_by_current_sample_rule
FL,12053,,3,3,2022,2024,61147.0,16658.0,0,3,False,False,,True,False,False,False,False,True,True,True,2091,False,included_by_current_sample_rule
FL,12055,,3,3,2022,2024,29875.0,7946.0,0,3,False,False,,True,False,False,False,False,True,True,True,1989,False,included_by_current_sample_rule
FL,12057,,3,3,2022,2024,556860.0,140075.0,0,3,False,False,,True,False,False,False,False,True,True,True,2182,False,included_by_current_sample_rule
FL,12059,,3,3,2022,2024,4891.0,1249.0,0,3,False,False,,True,False,False,False,False,True,True,True,1329,False,included_by_current_sample_rule
FL,12061,,3,3,2022,2024,53920.0,15761.0,0,3,False,False,,True,False,False,False,False,True,True,True,2074,False,included_by_current_sample_rule
FL,12063,,3,3,2022,2024,10959.0,2901.0,0,3,False,False,,True,False,False,False,False,True,True,True,1710,False,included_by_current_sample_rule
FL,12065,,3,3,2022,2024,3819.0,955.0,0,3,False,False,,True,False,False,False,False,True,True,True,1147,False,included_by_current_sample_rule
FL,12067,,3,3,2022,2024,2259.0,594.0,0,3,False,False,,True,False,False,False,False,True,True,True,783,False,included_by_current_sample_rule
FL,12069,,3,3,2022,2024,139555.0,37844.0,0,3,False,False,,True,False,False,False,False,True,True,True,2145,False,included_by_current_sample_rule
FL,12071,,3,3,2022,2024,321214.0,90591.0,0,3,False,False,,True,False,False,False,False,True,True,True,2171,False,included_by_current_sample_rule
FL,12073,,3,3,2022,2024,81821.0,20336.0,0,3,False,False,,True,False,False,False,False,True,True,True,2115,False,included_by_current_sample_rule
FL,12075,,3,3,2022,2024,12424.0,3367.0,0,3,False,False,,True,False,False,False,False,True,True,True,1761,False,included_by_current_sample_rule
FL,12077,,3,3,2022,2024,1494.0,367.0,0,3,False,False,,True,False,False,False,False,True,True,True,543,False,included_by_current_sample_rule
FL,12079,,3,3,2022,2024,4990.0,1226.0,0,3,False,False,,True,False,False,False,False,True,True,True,1342,False,included_by_current_sample_rule
FL,12081,,3,3,2022,2024,116932.0,29989.0,0,3,False,False,,True,False,False,False,False,True,True,True,2136,False,included_by_current_sample_rule
