state,county_fips,county_name,rows,years_present,min_year,max_year,total_enrollment,min_enrollment,table1_missing_years,treatment_constructible_years,suppression_or_missing_any,drake_supplement_exclusion_flag,drake_supplement_exclusion_reason,included_drake_harmonized_sample,missing_crosswalk_flag_any,missing_current_plan_flag_any,missing_premium_flag_any,missing_county_mapping_flag_any,all_three_years,table1_complete_all_years,treatment_constructible_all_years,low_enrollment_rank,candidate_extra_if_forcing_to_2159_by_low_enrollment,candidate_discrepancy_reason
AL,01091,,3,3,2022,2024,2946.0,731.0,0,3,False,False,,True,False,False,False,False,True,True,True,974,False,included_by_current_sample_rule
AL,01093,,3,3,2022,2024,5355.0,1154.0,0,3,False,False,,True,False,False,False,False,True,True,True,1373,False,included_by_current_sample_rule
AL,01095,,3,3,2022,2024,16094.0,4425.0,0,3,False,False,,True,False,False,False,False,True,True,True,1842,False,included_by_current_sample_rule
AL,01097,,3,3,2022,2024,98503.0,23642.0,0,3,False,False,,True,False,False,False,False,True,True,True,2124,False,included_by_current_sample_rule
AL,01099,,3,3,2022,2024,3626.0,1043.0,0,3,False,False,,True,False,False,False,False,True,True,True,1105,False,included_by_current_sample_rule
AL,01101,,3,3,2022,2024,33610.0,9708.0,0,3,False,False,,True,False,False,False,False,True,True,True,2007,False,included_by_current_sample_rule
AL,01103,,3,3,2022,2024,20773.0,5451.0,0,3,False,False,,True,False,False,False,False,True,True,True,1918,False,included_by_current_sample_rule
AL,01105,,3,3,2022,2024,1481.0,285.0,0,3,False,False,,True,False,False,False,False,True,True,True,536,False,included_by_current_sample_rule
AL,01107,,3,3,2022,2024,2820.0,651.0,0,3,False,False,,True,False,False,False,False,True,True,True,939,False,included_by_current_sample_rule
AL,01109,,3,3,2022,2024,4302.0,1109.0,0,3,False,False,,True,False,False,False,False,True,True,True,1234,False,included_by_current_sample_rule
AL,01111,,3,3,2022,2024,3776.0,910.0,0,3,False,False,,True,False,False,False,False,True,True,True,1136,False,included_by_current_sample_rule
