year,state,raw_qhp_landscape_rows,rows_after_healthcaregov_state_filter,rows_after_individual_market_filter,rows_after_dental_exclusion,rows_after_metal_silver_filter,rows_after_child_only_exclusion,rows_after_valid_premium_filter,unique_counties,unique_plan_ids,unique_standard_component_ids,unique_issuers,duplicate_county_plan_rows,duplicate_county_standard_component_rows,missing_age_40_premium_rows,missing_ehb_percent_total_premium_rows,rows_with_ehb_percent_total_premium_lt_1,rows_with_ehb_percent_total_premium_gt_1,rows_with_anomalous_premiums,counties_with_fewer_than_2_silver_plans,counties_with_exactly_2_silver_plans,counties_with_more_than_2_silver_plans,source_file,notes
2021,AK,169,169,169,169,64,64,64,29,3,3,2,0,0,0,0,64,0,0,0,23,6,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
2021,AL,501,501,501,501,146,146,146,67,5,5,2,0,0,0,0,0,0,0,0,63,4,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
2021,AR,2625,2625,2625,2625,1650,1650,1650,75,22,22,5,0,0,0,0,825,0,0,0,0,75,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
2021,AZ,370,370,370,370,191,191,191,15,86,86,6,0,0,0,0,58,0,0,0,0,15,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
2021,DE,36,36,36,36,9,9,9,3,3,3,1,0,0,0,0,3,0,0,0,0,3,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
2021,FL,5000,5000,5000,5000,2293,2293,2293,67,130,130,10,0,0,0,0,589,0,0,0,0,67,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
2021,GA,4555,4555,4555,4555,2049,2049,2049,159,79,79,6,0,0,0,0,605,0,0,0,0,159,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
2021,HI,115,115,115,115,30,30,30,5,6,6,2,0,0,0,0,30,0,0,0,0,5,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
2021,IA,1861,1861,1861,1861,445,445,445,99,12,12,3,0,0,0,0,0,0,0,0,0,99,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
2021,IL,2065,2065,2065,2065,806,806,806,102,61,61,8,0,0,0,0,806,0,0,0,1,101,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
2021,IN,3232,3232,3232,3232,2027,2027,2027,92,23,23,3,0,0,0,0,1012,0,0,0,0,92,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
2021,KS,3148,3148,3148,3148,1424,1424,1424,105,44,44,6,0,0,0,0,435,0,0,0,0,105,D:\GlobalHealthPolicy Dropbox\Fan Bowei\InsuranceStudy\zero_premium_project\data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,QHP Landscape medical individual file; individual/dental filters are structural unless explicit fields exist.
