state,year,county_years,counties,enrollment,constructibility_rate,missing_treatment_rate,missing_current_plan_rate,missing_crosswalk_rate,missing_premium_rate,outcome_missing_rate,treated_share_constructible,problem_state_for_sensitivity,diagnostic_flags
NH,2024,10,10,65117.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,extreme_treatment_prevalence
OH,2022,88,88,259999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,False,none
OH,2023,88,88,294644.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5681818181818182,False,none
OH,2024,88,88,477793.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8068181818181818,False,none
OK,2022,77,77,189444.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8051948051948052,False,none
OK,2023,77,77,203157.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,False,none
OK,2024,77,77,277436.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7532467532467533,False,none
OR,2022,36,36,146602.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.8055555555555556,False,none
OR,2023,36,36,141963.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.75,False,none
OR,2024,36,36,145509.0,1.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.7222222222222222,False,none
SC,2022,46,46,300392.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,extreme_treatment_prevalence
SC,2023,46,46,382968.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7608695652173914,False,none
SC,2024,46,46,571175.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,extreme_treatment_prevalence
SD,2022,66,66,41339.0,0.9848484848484849,0.015151515151515152,0.0,0.0,0.0,0.06060606060606061,1.0,False,extreme_treatment_prevalence
SD,2023,66,66,47591.0,1.0,0.0,0.0,0.0,0.0,0.045454545454545456,1.0,False,extreme_treatment_prevalence
SD,2024,66,66,52974.0,1.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.7575757575757576,False,none
TN,2022,95,95,273680.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9157894736842105,False,none
TN,2023,95,95,348097.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17894736842105263,False,none
TN,2024,95,95,555103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7473684210526316,False,none
TX,2022,254,254,1840940.0,1.0,0.0,0.0,0.0,0.0,0.04330708661417323,0.7637795275590551,False,none
TX,2023,254,254,2410789.0,1.0,0.0,0.0,0.0,0.0,0.03937007874015748,0.9291338582677166,False,none
TX,2024,254,254,3484613.0,1.0,0.0,0.0,0.0,0.0,0.011811023622047244,0.7637795275590551,False,none
UT,2022,29,29,256932.0,1.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.7586206896551724,False,none
UT,2023,29,29,295196.0,1.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.9655172413793104,False,extreme_treatment_prevalence
UT,2024,29,29,366939.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4482758620689655,False,none
WI,2022,72,72,212209.0,1.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.7916666666666666,False,none
WI,2023,72,72,221128.0,1.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.5555555555555556,False,none
WI,2024,72,72,266327.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,False,none
WV,2022,55,55,23037.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,False,extreme_treatment_prevalence
WV,2023,55,55,28325.0,1.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.38181818181818183,False,none
WV,2024,55,55,51046.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6181818181818182,False,none
WY,2022,23,23,34762.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,extreme_treatment_prevalence
WY,2023,23,23,38565.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,extreme_treatment_prevalence
WY,2024,23,23,42293.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,extreme_treatment_prevalence
