year,state,rank,issuer_concept,variant_name,current_plan_lookup_rule,failure_reason_if_not_turnover,plan_pair_rows
2022.0,SC,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,37
2022.0,SD,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,50
2022.0,SD,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,16
2022.0,SD,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,66
2022.0,TN,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,24
2022.0,TN,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,71
2022.0,TN,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,8
2022.0,TN,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,87
2022.0,TX,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,122
2022.0,TX,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,1
2022.0,TX,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,131
2022.0,TX,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,1
2022.0,TX,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,65
2022.0,TX,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,188
2022.0,UT,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,10
2022.0,UT,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,14
2022.0,UT,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,5
2022.0,UT,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,20
2022.0,UT,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,2
2022.0,UT,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,7
2022.0,VA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,99
2022.0,VA,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,34
2022.0,VA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,68
2022.0,VA,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,65
2022.0,WI,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,5
2022.0,WI,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_zero,32
2022.0,WI,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,prior_not_zero,1
2022.0,WI,lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,turnover,34
2022.0,WI,second_lowest,plan_panel_preferred,current_ehb_all_states,all_metal_panel,both_positive,1
