year,county_years,counties,states,enrollment,treatment_constructibility_rate,missing_treatment_rate,not_constructible_count,any_share_all_county_years,any_share_constructible,any_enrollment_weighted_share_all,any_enrollment_weighted_share_constructible,across_issuer_share_all_county_years,across_issuer_share_constructible,across_issuer_enrollment_weighted_share_all,across_issuer_enrollment_weighted_share_constructible,within_issuer_share_all_county_years,within_issuer_share_constructible,within_issuer_enrollment_weighted_share_all,within_issuer_enrollment_weighted_share_constructible
2022,2188,2188,29,9803559.0,0.9995429616087751,0.0004570383912248629,1,0.8025594149908593,0.8029263831732968,0.9361120792969165,0.9361280258914465,0.043875685557586835,0.0438957475994513,0.027533980261658035,0.027534449300813432,0.7632541133455211,0.7636031092821216,0.9287939206567737,0.9288097425870556
2023,2188,2188,29,11708754.0,1.0,0.0,0,0.70018281535649,0.70018281535649,0.7287227146458112,0.7287227146458112,0.005941499085923218,0.005941499085923218,0.04362513722638634,0.04362513722638634,0.6951553930530164,0.6951553930530164,0.687125291042924,0.687125291042924
2024,2188,2188,29,16195598.0,0.9867458866544789,0.013254113345521023,29,0.6375685557586838,0.6461324687355257,0.7974861440744577,0.8122790577743677,0.006398537477148081,0.006484483557202408,0.025434442124335266,0.02590623653750004,0.6329981718464351,0.6415006947660954,0.7968102196658623,0.8115905953530201
