transition,year,state,issuer_concept,county_years,across_county_years,across_share,affected_plan_pair_rows
2023_to_2024,2024,ALL,plan_panel_preferred,2449,14,0.0057166190281747655,18
2023_to_2024,2024,AK,plan_panel_preferred,30,0,0.0,0
2023_to_2024,2024,AL,plan_panel_preferred,67,0,0.0,0
2023_to_2024,2024,AR,plan_panel_preferred,75,0,0.0,0
2023_to_2024,2024,AZ,plan_panel_preferred,15,0,0.0,0
2023_to_2024,2024,DE,plan_panel_preferred,3,0,0.0,0
2023_to_2024,2024,FL,plan_panel_preferred,67,4,0.05970149253731343,4
2023_to_2024,2024,GA,plan_panel_preferred,159,0,0.0,0
2023_to_2024,2024,HI,plan_panel_preferred,5,0,0.0,0
2023_to_2024,2024,IA,plan_panel_preferred,99,0,0.0,0
2023_to_2024,2024,IL,plan_panel_preferred,102,0,0.0,0
2023_to_2024,2024,IN,plan_panel_preferred,92,6,0.06521739130434782,6
2023_to_2024,2024,KS,plan_panel_preferred,105,0,0.0,0
2023_to_2024,2024,LA,plan_panel_preferred,64,0,0.0,0
2023_to_2024,2024,MI,plan_panel_preferred,83,0,0.0,0
2023_to_2024,2024,MO,plan_panel_preferred,115,0,0.0,0
2023_to_2024,2024,MS,plan_panel_preferred,82,0,0.0,0
2023_to_2024,2024,MT,plan_panel_preferred,56,0,0.0,0
2023_to_2024,2024,NC,plan_panel_preferred,100,0,0.0,0
2023_to_2024,2024,ND,plan_panel_preferred,53,0,0.0,0
2023_to_2024,2024,NE,plan_panel_preferred,93,0,0.0,0
2023_to_2024,2024,NH,plan_panel_preferred,10,0,0.0,0
2023_to_2024,2024,OH,plan_panel_preferred,88,0,0.0,0
2023_to_2024,2024,OK,plan_panel_preferred,77,0,0.0,0
2023_to_2024,2024,OR,plan_panel_preferred,36,0,0.0,0
2023_to_2024,2024,SC,plan_panel_preferred,46,0,0.0,0
2023_to_2024,2024,SD,plan_panel_preferred,66,0,0.0,0
2023_to_2024,2024,TN,plan_panel_preferred,95,0,0.0,0
2023_to_2024,2024,TX,plan_panel_preferred,254,3,0.011811023622047244,6
2023_to_2024,2024,UT,plan_panel_preferred,29,0,0.0,0
2023_to_2024,2024,VA,plan_panel_preferred,133,0,0.0,0
2023_to_2024,2024,WI,plan_panel_preferred,72,1,0.013888888888888888,2
2023_to_2024,2024,WV,plan_panel_preferred,55,0,0.0,0
2023_to_2024,2024,WY,plan_panel_preferred,23,0,0.0,0
2023_to_2024,2024,ALL,crosswalk_issuer_only,2449,14,0.0057166190281747655,18
2023_to_2024,2024,AK,crosswalk_issuer_only,30,0,0.0,0
2023_to_2024,2024,AL,crosswalk_issuer_only,67,0,0.0,0
2023_to_2024,2024,AR,crosswalk_issuer_only,75,0,0.0,0
2023_to_2024,2024,AZ,crosswalk_issuer_only,15,0,0.0,0
