year,state,county_fips,n_tied_lowest,n_tied_second
2021,LA,22051,2,1
2021,LA,22071,2,1
2022,KS,20001,2,1
2022,KS,20003,2,1
2022,KS,20005,2,1
2022,KS,20007,2,1
2022,KS,20009,2,1
2022,KS,20011,2,1
2022,KS,20013,2,1
2022,KS,20017,2,1
2022,KS,20019,2,1
2022,KS,20021,2,1
2022,KS,20023,2,1
2022,KS,20027,2,1
2022,KS,20029,2,1
2022,KS,20031,2,1
2022,KS,20033,2,1
2022,KS,20037,2,1
2022,KS,20039,2,1
2022,KS,20041,2,1
2022,KS,20043,2,1
2022,KS,20045,2,1
2022,KS,20047,2,1
2022,KS,20049,2,1
2022,KS,20051,2,1
2022,KS,20053,2,1
2022,KS,20059,2,1
2022,KS,20061,2,1
2022,KS,20063,2,1
2022,KS,20065,2,1
2022,KS,20071,2,1
2022,KS,20073,2,1
2022,KS,20083,2,1
2022,KS,20085,2,1
2022,KS,20087,2,1
2022,KS,20089,2,1
2022,KS,20091,2,1
2022,KS,20097,2,1
2022,KS,20099,2,1
2022,KS,20101,2,1
2022,KS,20103,2,1
2022,KS,20105,2,1
2022,KS,20107,2,1
2022,KS,20109,2,1
2022,KS,20111,2,1
2022,KS,20113,2,1
2022,KS,20115,2,1
2022,KS,20117,2,1
2022,KS,20121,2,1
2022,KS,20123,2,1
2022,KS,20125,2,1
2022,KS,20127,2,1
2022,KS,20131,2,1
2022,KS,20133,2,1
2022,KS,20135,2,1
2022,KS,20137,2,1
2022,KS,20139,2,1
2022,KS,20141,2,1
2022,KS,20143,2,1
2022,KS,20145,2,1
2022,KS,20147,2,1
2022,KS,20149,2,1
2022,KS,20151,2,1
2022,KS,20153,2,1
2022,KS,20155,2,1
2022,KS,20157,2,1
2022,KS,20159,2,1
2022,KS,20161,2,1
2022,KS,20163,2,1
2022,KS,20165,2,1
2022,KS,20167,2,1
2022,KS,20169,2,1
2022,KS,20171,2,1
2022,KS,20177,2,1
2022,KS,20179,2,1
2022,KS,20181,2,1
2022,KS,20183,2,1
2022,KS,20185,2,1
2022,KS,20193,2,1
2022,KS,20195,2,1
2022,KS,20197,2,1
2022,KS,20201,2,1
2022,KS,20203,2,1
2022,KS,20205,2,1
2022,KS,20207,2,1
2022,KS,20209,2,1
2022,NE,31021,2,1
2022,NE,31025,2,1
2022,NE,31053,2,1
2022,NE,31055,2,1
2022,NE,31059,2,1
2022,NE,31097,2,1
2022,NE,31109,2,1
2022,NE,31127,2,1
2022,NE,31131,2,1
2022,NE,31133,2,1
2022,NE,31151,2,1
2022,NE,31153,2,1
2022,NE,31155,2,1
2022,NE,31159,2,1
2022,NE,31169,2,1
2022,NE,31177,2,1
2023,AL,01003,2,1
2023,AL,01005,2,1
2023,AL,01011,2,1
2023,AL,01017,2,1
2023,AL,01023,2,1
2023,AL,01029,2,1
2023,AL,01031,2,1
2023,AL,01033,1,2
2023,AL,01039,2,1
2023,AL,01043,2,1
2023,AL,01047,2,1
2023,AL,01053,2,1
2023,AL,01077,1,2
2023,AL,01085,2,1
2023,AL,01093,2,1
2023,AL,01097,2,1
2023,AL,01105,2,1
2023,AL,01107,2,1
2023,AL,01111,2,1
2023,AL,01119,2,1
2023,AL,01129,2,1
2023,OR,41007,1,2
2023,OR,41011,1,2
2023,OR,41015,1,2
2023,OR,41029,1,2
2023,OR,41033,1,2
2023,OR,41057,1,2
2023,TX,48021,1,2
2023,TX,48031,1,2
2023,TX,48055,1,2
2023,TX,48149,1,2
2023,TX,48287,1,2
2024,FL,12123,1,2
