year,state,plan_count,ehb_percent_missing_count,non_ehb_positive_count,mean_non_ehb_residual,p95_non_ehb_residual,max_non_ehb_residual
2021,AK,64,0,64,3.5948156250000167,6.306299999999965,6.306299999999965
2021,AL,146,0,0,0.0,0.0,0.0
2021,AR,1650,0,825,5.280262818181812,18.15889999999996,18.180219999999963
2021,AZ,191,0,58,6.750857214659682,26.58616799999993,30.84384
2021,DE,9,0,3,11.663568000000017,34.99070400000005,34.99070400000005
2021,FL,2293,0,589,4.890468652420416,23.12279000000001,33.41605100000004
2021,GA,2049,0,605,6.142682320644223,29.23503199999999,31.125936000000024
2021,HI,30,0,30,4.450761499999989,7.097025000000031,7.097025000000031
2021,IA,445,0,0,0.0,0.0,0.0
2021,IL,806,0,806,4.041925243176182,25.252053749999973,27.179145000000005
2021,IN,2027,0,1012,10.126561579181068,22.754118000000005,25.315830000000062
2021,KS,1424,0,435,7.026070841292121,24.165344699999935,25.391015999999922
2021,KY,960,0,282,7.296293407291667,25.250315999999998,31.76074200000005
2021,LA,460,0,71,2.4001562869565234,15.192139999999995,21.254940000000033
2021,ME,222,0,222,1.280837513513499,1.600092100000029,1.916370000000029
2021,MI,1254,0,291,3.5437392727272727,31.58331084999998,38.330783999999994
2021,MO,1678,0,322,3.945536352800952,21.630299999999984,23.481374999999957
2021,MS,738,0,246,5.036140621951223,21.01787999999999,23.18043
2021,MT,399,0,112,0.1862982456140447,0.6792000000000371,0.6798999999999751
2021,NC,1186,0,268,3.81746057082631,26.85331599999995,28.437850000000026
2021,ND,335,0,0,0.0,0.0,0.0
2021,NE,512,0,0,0.0,0.0,0.0
2021,NH,165,0,125,4.796674800000001,25.149774999999977,25.149774999999977
2021,NM,396,0,66,0.18445045454545306,1.149029999999982,1.2208499999999844
2021,OH,2334,0,607,5.114348757926308,28.65781924999997,31.356160000000045
2021,OK,283,0,12,0.02236056537102188,0.0,0.5529399999999214
2021,OR,358,0,358,2.4220286592178777,5.600000000000023,7.889999999999986
2021,SC,954,0,183,3.525172146750525,22.464258799999968,26.683591999999976
2021,SD,411,0,0,0.0,0.0,0.0
2021,TN,1878,0,657,5.594380785410013,22.871533999999997,24.562198999999964
2021,TX,3823,0,1702,6.802651361234636,27.092499999999973,30.418000000000006
2021,UT,322,0,157,1.9676325372670807,6.693036000000006,6.713951999999949
2021,VA,747,0,259,0.8033665850066829,5.74087099999997,8.204939999999851
2021,WI,1136,0,281,1.8573489859154935,20.932014000000038,22.97614199999998
2021,WV,495,0,220,10.132696125252519,28.47610499999996,31.292736999999875
2021,WY,115,0,0,0.0,0.0,0.0
2022,AK,73,0,73,2.86474520547943,4.340279999999893,4.340279999999893
2022,AL,198,0,6,0.43945599999999835,0.0,14.502047999999945
