comparison,variable,variable_label,variable_type,variable_present,untreated_mean_unweighted,treated_mean_unweighted,unweighted_difference,untreated_mean_cnsmer_weighted,treated_mean_cnsmer_weighted,cnsmr_weighted_difference,weighting_used,untreated_missing_rate,treated_missing_rate,untreated_county_years,treated_county_years,untreated_counties,treated_counties,untreated_states,treated_states,notes
any_zero_to_positive_turnover_across_issuer,overall_reenrollment_share,Overall reenrollment share,outcome,True,0.7640395963711449,0.7979819938268881,0.03394239745574312,0.7580873730216571,0.7705553960331062,0.012468023011449114,enrollment_2021_weight,0.009891662741403674,0.028037383177570093,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,automatic_passive_share,Automatic/passive share,outcome,True,0.25543609873234924,0.21945847874677668,-0.035977619985572556,0.21657889663500957,0.21275179075200168,-0.0038271058830078863,enrollment_2021_weight,0.012717852096090438,0.04672897196261682,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,active_share,Active share,outcome,True,0.5086711655453181,0.5790420209741024,0.0703708554287843,0.5415082660019841,0.5578011210865123,0.016292855084528157,enrollment_2021_weight,0.012717852096090438,0.04672897196261682,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,active_stay_share,Active stay share,outcome,True,0.27554640190876184,0.3078482866157188,0.03230188470695694,0.24223380278758072,0.26437883253790107,0.022145029750320344,enrollment_2021_weight,0.019469304443397707,0.04672897196261682,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,active_switch_share,Active switch share,outcome,True,0.233512659662192,0.2711937343583837,0.03768107469619167,0.2992874821484565,0.29342228854861113,-0.005865193599845386,enrollment_2021_weight,0.019469304443397707,0.04672897196261682,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,number_of_silver_plans,Number of silver plans,plan_market,True,19.360025121683154,17.97196261682243,-1.3880625048607236,43.345665299525955,45.250532075651776,1.9048667761258216,enrollment_2021_weight,0.0,0.0,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,number_of_insurers,Number of insurers,plan_market,True,3.62019155283404,3.4205607476635516,-0.19963080517048848,6.641024017703042,8.014198228005153,1.3731742103021105,enrollment_2021_weight,0.0,0.0,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,lowest_silver_premium,Lowest silver premium,plan_market,True,505.9163243837337,463.4788785046729,-42.43744587906082,458.0334795151865,475.9254848171537,17.892005301967174,enrollment_2021_weight,0.0,0.0,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,second_lowest_silver_premium,Second-lowest silver premium,plan_market,True,516.701282775946,466.2914018691588,-50.40988090678718,464.6534371694045,480.49069349579275,15.837256326388228,enrollment_2021_weight,0.0,0.0,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,premium_spread_among_silver_plans,Premium spread among silver plans,plan_market,True,10.784958392212276,2.8125233644859837,-7.972435027726293,6.6199576542179335,4.5652086786390385,-2.054748975578895,enrollment_2021_weight,0.0,0.0,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,lowest_bronze_premium,Lowest bronze premium,plan_market,True,387.14226095148376,360.0094392523364,-27.13282169914737,347.68409510549776,369.92403464456714,22.239939539069383,enrollment_2021_weight,0.0,0.0,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,bronze_spread,Bronze spread,plan_market,True,129.55902182446223,106.28196261682245,-23.27705920763978,116.96934206390668,110.56665885122561,-6.402683212681069,enrollment_2021_weight,0.0,0.0,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,mean_premium_change_among_affected_top_two,Premium change proxy,plan_market,True,34.57473392769608,32.2583288317757,-2.3164050959203806,28.004991161617728,15.134253658898949,-12.870737502718779,enrollment_2021_weight,0.3593970796043335,0.0,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,Cnsmr,County enrollment size,plan_market,True,5738.855728429986,4900.878504672897,-837.9772237570887,138664.43282929534,158241.0645076113,19576.631678315956,enrollment_2021_weight,0.0009420631182289214,0.0,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
any_zero_to_positive_turnover_across_issuer,enrollment_2021_weight,2021 enrollment weight,plan_market,True,3510.088323118026,2937.7102803738317,-572.3780427441943,85643.02733478483,89922.16076160784,4279.133426823013,enrollment_2021_weight,0.0009420631182289214,0.0,6369,107,2159,107,29,8,Descriptive comparison only; not a causal contrast. Uses Drake-style 2021 enrollment weights.
