pooled,county_years,counties,states,enrollment,treatment_constructibility_rate,missing_treatment_rate,not_constructible_count,any_share_all_county_years,any_share_constructible,any_enrollment_weighted_share_all,any_enrollment_weighted_share_constructible,across_issuer_share_all_county_years,across_issuer_share_constructible,across_issuer_enrollment_weighted_share_all,across_issuer_enrollment_weighted_share_constructible,within_issuer_share_all_county_years,within_issuer_share_constructible,within_issuer_enrollment_weighted_share_all,within_issuer_enrollment_weighted_share_constructible,scope,year
pooled,6477,2159,29,37040900.0,0.9998456075343524,0.0001543924656476764,1,0.7140651536205033,0.7141754169240272,0.8167557213782602,0.8167594037623391,0.018990273274664196,0.018993205682520074,0.03219827272015529,0.03219841788768057,0.6975451597962019,0.6976528721432983,0.8013742106698272,0.8013778237055946,pooled,
,2159,2159,29,9636366.0,0.999536822603057,0.0004631773969430292,1,0.7999073645206114,0.8002780352177943,0.9350036102821333,0.9350198143479602,0.0444650301065308,0.04448563484708063,0.028011700676375307,0.02801218613272723,0.7600741083835109,0.7604263206672845,0.9275584800328257,0.9275745550709361,year,2022.0
,2159,2159,29,11503884.0,1.0,0.0,0,0.6961556276053729,0.6961556276053729,0.7238916004368612,0.7238916004368612,0.006021306160259379,0.006021306160259379,0.044402047169460335,0.044402047169460335,0.6910606762389996,0.6910606762389996,0.6815533779721701,0.6815533779721701,year,2023.0
,2159,2159,29,15900650.0,1.0,0.0,0,0.6461324687355257,0.6461324687355257,0.8122790577743677,0.8122790577743677,0.006484483557202408,0.006484483557202408,0.02590623653750004,0.02590623653750004,0.6415006947660954,0.6415006947660954,0.8115905953530201,0.8115905953530201,year,2024.0
