scope,breakdown_type,transition,state,year,entity_field,entity_id,failure_type,rows,failures,failure_rate,enrollment_in_failed_rows
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,KS,2022,,,missing_county_mapping_flag,105,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,LA,2022,,,missing_previous_plan_flag,64,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,LA,2022,,,missing_crosswalk_flag,64,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,LA,2022,,,missing_current_plan_flag,64,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,LA,2022,,,missing_premium_flag,64,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,LA,2022,,,missing_county_mapping_flag,64,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MI,2022,,,missing_previous_plan_flag,83,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MI,2022,,,missing_crosswalk_flag,83,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MI,2022,,,missing_current_plan_flag,83,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MI,2022,,,missing_premium_flag,83,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MI,2022,,,missing_county_mapping_flag,83,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MO,2022,,,missing_previous_plan_flag,115,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MO,2022,,,missing_crosswalk_flag,115,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MO,2022,,,missing_current_plan_flag,115,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MO,2022,,,missing_premium_flag,115,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MO,2022,,,missing_county_mapping_flag,115,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MS,2022,,,missing_previous_plan_flag,82,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MS,2022,,,missing_crosswalk_flag,82,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MS,2022,,,missing_current_plan_flag,82,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MS,2022,,,missing_premium_flag,82,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MS,2022,,,missing_county_mapping_flag,82,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MT,2022,,,missing_previous_plan_flag,56,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MT,2022,,,missing_crosswalk_flag,56,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MT,2022,,,missing_current_plan_flag,56,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MT,2022,,,missing_premium_flag,56,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,MT,2022,,,missing_county_mapping_flag,56,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,NC,2022,,,missing_previous_plan_flag,100,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,NC,2022,,,missing_crosswalk_flag,100,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,NC,2022,,,missing_current_plan_flag,100,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,NC,2022,,,missing_premium_flag,100,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,NC,2022,,,missing_county_mapping_flag,100,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,ND,2022,,,missing_previous_plan_flag,53,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,ND,2022,,,missing_crosswalk_flag,53,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,ND,2022,,,missing_current_plan_flag,53,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,ND,2022,,,missing_premium_flag,53,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,ND,2022,,,missing_county_mapping_flag,53,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,NH,2022,,,missing_previous_plan_flag,10,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,NH,2022,,,missing_crosswalk_flag,10,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,NH,2022,,,missing_current_plan_flag,10,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,NH,2022,,,missing_premium_flag,10,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,NH,2022,,,missing_county_mapping_flag,10,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OH,2022,,,missing_previous_plan_flag,88,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OH,2022,,,missing_crosswalk_flag,88,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OH,2022,,,missing_current_plan_flag,88,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OH,2022,,,missing_premium_flag,88,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OH,2022,,,missing_county_mapping_flag,88,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OK,2022,,,missing_previous_plan_flag,77,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OK,2022,,,missing_crosswalk_flag,77,0,0.0,0.0
raw_primary_before_etable3_exclusions,state_year_transition,2021_to_2022,OK,2022,,,missing_current_plan_flag,77,0,0.0,0.0
