year,state,county_years,any_turnover_county_years,across_issuer_turnover_county_years,enrollment,variant_name,issuer_concept,current_plan_lookup_rule
2022,AL,67,14,0,219314.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,AR,75,75,0,88226.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,AZ,15,9,0,199706.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,DE,3,0,0,32113.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,FL,67,66,1,2723094.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,GA,145,139,0,633138.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,IA,99,93,0,72240.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,IL,102,0,0,323427.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,IN,92,92,0,156926.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,KS,105,105,87,107784.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,LA,64,28,0,99626.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,MI,83,34,0,303550.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,MO,115,89,0,250341.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,MS,82,82,0,143014.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,MT,56,49,0,51134.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,NC,85,85,0,571027.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,ND,53,37,0,29873.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,NH,10,10,0,52497.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,OH,88,76,0,259999.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,OK,77,62,0,189444.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,OR,36,0,0,146602.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,SC,46,46,0,300392.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,SD,66,66,0,41339.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,TN,95,87,0,273680.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,TX,254,193,0,1840940.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,UT,29,10,0,256932.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,WI,72,54,0,212209.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,WV,55,0,0,23037.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2022,WY,23,23,0,34762.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,AL,67,61,0,258327.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,AR,75,0,0,100407.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,AZ,15,8,0,235229.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,DE,3,3,0,34742.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,FL,67,50,0,3225435.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,GA,145,96,0,790585.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,IA,99,98,0,82704.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,IL,102,0,0,342995.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,IN,92,65,0,185354.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,KS,105,30,0,124473.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,LA,64,29,0,120804.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,MI,83,27,0,322273.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,MO,115,74,0,257629.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,MS,82,27,0,183478.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,MT,56,56,0,53860.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
2023,NC,85,53,3,684479.0,current_ehb_all_states,plan_panel_preferred,all_metal_panel
