default_mapping_rule,premium_variant,issuer_concept,pooled_any_turnover_county_years,pooled_across_issuer_turnover_county_years,pooled_within_issuer_turnover_county_years,pooled_any_turnover_enrollee_years_millions,pooled_across_issuer_enrollee_years_millions,difference_vs_drake_any_count,difference_vs_drake_across_count,difference_vs_drake_any_enrollee_millions,difference_vs_drake_across_enrollee_millions,by_year_2022_any,by_year_2023_any,by_year_2024_any,by_year_2022_across,by_year_2023_across,by_year_2024_across,constructible_county_years,drake_text_support,notes
county_any_zip_across_turnover,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,County-year across treated if any ZIP-level candidate is zero-to-positive and across issuer.
county_any_zip_across_turnover,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,County-year across treated if any ZIP-level candidate is zero-to-positive and across issuer.
county_any_zip_turnover,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,County-year treated if any ZIP-level candidate is zero-to-positive.
county_any_zip_turnover,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,County-year treated if any ZIP-level candidate is zero-to-positive.
current_repo_rule,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,plausible,"Existing repo rule: mapped current plan, current silver, same issuer, lowest CrosswalkLevel, lexical tie-breaks."
current_repo_rule,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,plausible,"Existing repo rule: mapped current plan, current silver, same issuer, lowest CrosswalkLevel, lexical tie-breaks."
exclude_level4_5,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,plausible,Treats CrosswalkLevel 4/5 as no valid reenrollment/default option.
exclude_level4_5,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,plausible,Treats CrosswalkLevel 4/5 as no valid reenrollment/default option.
include_level4_5_as_missing_current,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Keeps CrosswalkLevel 4/5 in audit but classifies as missing current default.
include_level4_5_as_missing_current,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Keeps CrosswalkLevel 4/5 in audit but classifies as missing current default.
lowest_crosswalk_level,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Lowest numeric CrosswalkLevel among valid rows; tests whether level hierarchy matters.
lowest_crosswalk_level,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Lowest numeric CrosswalkLevel among valid rows; tests whether level hierarchy matters.
no_same_issuer_priority,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Removes repo same-issuer priority to test whether it suppresses across-insurer turnover.
no_same_issuer_priority,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Removes repo same-issuer priority to test whether it suppresses across-insurer turnover.
reason8_priority,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,diagnostic_only,Prioritizes ReasonForCrosswalk=8 different-issuer rows; CMS defines reason 8 but Drake does not state this priority.
reason8_priority,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,diagnostic_only,Prioritizes ReasonForCrosswalk=8 different-issuer rows; CMS defines reason 8 but Drake does not state this priority.
same_plan_if_available_else_lowest_level,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,plausible,"Same-plan-if-available, then lowest CrosswalkLevel among valid rows."
same_plan_if_available_else_lowest_level,ehb_named_states_only,plan_panel_preferred,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,plausible,"Same-plan-if-available, then lowest CrosswalkLevel among valid rows."
same_plan_if_available_else_source_order,current_ehb_all_states,plan_panel_preferred,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,plausible,"Article wording says a plan defaults to itself if available, otherwise to a similar plan; synthetic only when same plan is available in the current county panel."
