transition,year,universe,state,county_years,counties,any_turnover_county_years,across_issuer_turnover_county_years,within_issuer_turnover_county_years,any_turnover_share,across_issuer_turnover_share,within_issuer_turnover_share
2023_to_2024,2024,top_two_lowest_silver,ALL,2449,2449,1313,14,1303,0.5361371988566762,0.0057166190281747655,0.532053899550837
2023_to_2024,2024,top_two_lowest_silver,AK,30,30,0,0,0,0.0,0.0,0.0
2023_to_2024,2024,top_two_lowest_silver,AL,67,67,53,0,53,0.7910447761194029,0.0,0.7910447761194029
2023_to_2024,2024,top_two_lowest_silver,AR,75,75,75,0,75,1.0,0.0,1.0
2023_to_2024,2024,top_two_lowest_silver,AZ,15,15,12,0,12,0.8,0.0,0.8
2023_to_2024,2024,top_two_lowest_silver,DE,3,3,3,0,3,1.0,0.0,1.0
2023_to_2024,2024,top_two_lowest_silver,FL,67,67,52,4,52,0.7761194029850746,0.05970149253731343,0.7761194029850746
2023_to_2024,2024,top_two_lowest_silver,GA,159,159,110,0,110,0.6918238993710691,0.0,0.6918238993710691
2023_to_2024,2024,top_two_lowest_silver,HI,5,5,0,0,0,0.0,0.0,0.0
2023_to_2024,2024,top_two_lowest_silver,IA,99,99,63,0,63,0.6363636363636364,0.0,0.6363636363636364
2023_to_2024,2024,top_two_lowest_silver,IL,102,102,0,0,0,0.0,0.0,0.0
2023_to_2024,2024,top_two_lowest_silver,IN,92,92,67,6,61,0.7282608695652174,0.06521739130434782,0.6630434782608695
2023_to_2024,2024,top_two_lowest_silver,KS,105,105,73,0,73,0.6952380952380952,0.0,0.6952380952380952
2023_to_2024,2024,top_two_lowest_silver,LA,64,64,14,0,14,0.21875,0.0,0.21875
2023_to_2024,2024,top_two_lowest_silver,MI,83,83,32,0,32,0.3855421686746988,0.0,0.3855421686746988
2023_to_2024,2024,top_two_lowest_silver,MO,115,115,40,0,40,0.34782608695652173,0.0,0.34782608695652173
2023_to_2024,2024,top_two_lowest_silver,MS,82,82,64,0,64,0.7804878048780488,0.0,0.7804878048780488
2023_to_2024,2024,top_two_lowest_silver,MT,56,56,1,0,1,0.017857142857142856,0.0,0.017857142857142856
2023_to_2024,2024,top_two_lowest_silver,NC,100,100,69,0,69,0.69,0.0,0.69
2023_to_2024,2024,top_two_lowest_silver,ND,53,53,30,0,30,0.5660377358490566,0.0,0.5660377358490566
2023_to_2024,2024,top_two_lowest_silver,NE,93,93,7,0,7,0.07526881720430108,0.0,0.07526881720430108
2023_to_2024,2024,top_two_lowest_silver,NH,10,10,0,0,0,0.0,0.0,0.0
2023_to_2024,2024,top_two_lowest_silver,OH,88,88,47,0,47,0.5340909090909091,0.0,0.5340909090909091
2023_to_2024,2024,top_two_lowest_silver,OK,77,77,58,0,58,0.7532467532467533,0.0,0.7532467532467533
2023_to_2024,2024,top_two_lowest_silver,OR,36,36,0,0,0,0.0,0.0,0.0
