year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
1999,24618,23929,"1,2",1,2,1.20059342220736,689
2000,25096,24380,"1,2",1,2,1.19425758818704,716
2001,33556,32683,"1,2",1,2,1.1994308967965,873
2002,39165,38100,"1,2",1,2,1.21112860892388,1065
2003,34215,33271,"1,2",1,2,1.22124372576718,944
2004,34403,33319,"1,2",1,2,1.21690326840541,1084
2005,33961,32836,"1,2",1,2,1.22420514069923,1125
2006,34145,33050,"1,2",1,2,1.21403933434191,1095
2007,30964,29901,"1,2",1,2,1.22343734323267,1063
2008,33066,31721,"1,2",1,2,1.23631033069575,1345
2009,36855,35523,"1,2",1,2,1.23894378290122,1332
2010,32846,31591,"1,2",1,2,1.23791586211263,1255
2011,35313,33838,"1,2",1,2,1.23733672202849,1475
2012,38974,37304,"1,2",1,2,1.24715848166416,1670
2013,36940,35458,"1,2",1,2,1.23960742286649,1482
2014,34875,33507,"1,2",1,2,1.22890739248515,1368
2015,35427,34018,"1,2",1,2,1.22064789229232,1409
2016,34655,33197,"1,2",1,2,1.22547218122119,1458
2017,31880,30483,"1,2",1,2,1.21093724370961,1397
