year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
2002,39165,38286,"1,2",1,2,1.97267930836337,879
2003,34215,33489,"1,2",1,2,1.97297620114067,726
2004,34403,33638,"1,2",1,2,1.96866638920269,765
2005,33961,33167,"1,2",1,2,1.97084451412549,794
2006,34145,33419,"1,2",1,2,1.96902959394357,726
2007,30964,30328,"1,2",1,2,1.9749406489053,636
2008,33066,32274,"1,2",1,2,1.97570800024788,792
2009,36855,36100,"1,2",1,2,1.9714404432133,755
2010,32846,32163,"1,2",1,2,1.97295028448839,683
2011,35313,34573,"1,2",1,2,1.97561681080612,740
2012,38974,38163,"1,2",1,2,1.97405864318843,811
2013,36940,36121,"1,2",1,2,1.97513911574984,819
2014,34875,34182,"1,2",1,2,1.97893628225382,693
2015,35427,34726,"1,2",1,2,1.98015895870529,701
2016,34655,33949,"1,2",1,2,1.98220860702819,706
2017,31880,31259,"1,2",1,2,1.98170127003423,621
