year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
1997,34551,34551,"1,2",1,2,1.84177013689908,0
1998,24072,24072,"1,2",1,2,1.84471585244267,0
1999,24618,24618,"1,2",1,2,1.85827443334146,0
2000,25096,25096,"1,2",1,2,1.84981670385719,0
2001,33556,33556,"1,2",1,2,1.85051853617833,0
2002,39165,39165,"1,2",1,2,1.84889569768926,0
2003,34215,34215,"1,2",1,2,1.83831652783867,0
2004,34403,34403,"1,2",1,2,1.83361916111967,0
2005,33961,33961,"1,2",1,2,1.83372103294956,0
2006,34145,34145,"1,2",1,2,1.83772148191536,0
2007,30964,30964,"1,2",1,2,1.8341622529389,0
2008,33066,33066,"1,2",1,2,1.82876670900623,0
2009,36855,36855,"1,2",1,2,1.82482702482702,0
2010,32846,32846,"1,2",1,2,1.82308348048469,0
2011,35313,35313,"1,2",1,2,1.82485203749327,0
2012,38974,38974,"1,2",1,2,1.81769897880638,0
2013,36940,36940,"1,2",1,2,1.82033026529507,0
2014,34875,34875,"1,2",1,2,1.85754838709677,0
2015,35427,35427,"1,2",1,2,1.88048663448782,0
2016,34655,34655,"1,2",1,2,1.88899148751984,0
2017,31880,31880,"1,2",1,2,1.91057089084065,0
