year,n_obs,n_valid,unique_values,min_val,max_val,mean_val,na_count
1996,22601,22601,"1,2",1,2,1.52068492544578,0
1997,34551,34551,"1,2",1,2,1.52493415530665,0
1998,24072,24072,"1,2",1,2,1.5246344300432,0
1999,24618,24618,"1,2",1,2,1.52063530749858,0
2000,25096,25096,"1,2",1,2,1.51956487089576,0
2001,33556,33556,"1,2",1,2,1.51999642388843,0
2002,39165,39165,"1,2",1,2,1.5224818077365,0
2003,34215,34215,"1,2",1,2,1.52605582346924,0
2004,34403,34403,"1,2",1,2,1.5249542191088,0
2005,33961,33961,"1,2",1,2,1.52524955095551,0
2006,34145,34145,"1,2",1,2,1.52654854297847,0
2007,30964,30964,"1,2",1,2,1.52147655341687,0
2008,33066,33066,"1,2",1,2,1.51959716929777,0
2009,36855,36855,"1,2",1,2,1.52188305521639,0
2010,32846,32846,"1,2",1,2,1.5213724654448,0
2011,35313,35313,"1,2",1,2,1.52040325092742,0
2012,38974,38974,"1,2",1,2,1.52003900035921,0
2013,36940,36940,"1,2",1,2,1.52379534380076,0
2014,34875,34875,"1,2",1,2,1.52206451612903,0
2015,35427,35427,"1,2",1,2,1.51977305445,0
2016,34655,34655,"1,2",1,2,1.52312797576107,0
2017,31880,31880,"1,2",1,2,1.52427854454203,0
