variant_name,issuer_concept,zero_threshold_rule,ehb_rule,current_plan_lookup_rule,pooled_any_turnover_county_years,pooled_across_issuer_turnover_county_years,pooled_within_issuer_turnover_county_years,pooled_any_turnover_enrollee_years_millions,pooled_across_issuer_enrollee_years_millions,difference_vs_drake_any_count,difference_vs_drake_across_count,difference_vs_drake_any_enrollee_millions,difference_vs_drake_across_enrollee_millions,by_year_2022_any,by_year_2023_any,by_year_2024_any,by_year_2022_across,by_year_2023_across,by_year_2024_across,constructible_county_years,notes,whether_supported_by_drake_text
current_ehb_all_states,plan_panel_preferred,cent_threshold_zero,EHB-adjusted in all states where EHBPercentTotalPremium is available; missing EHB percent treated as 100% EHB.,all_metal_panel,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,Current primary Step 2 premium proxy.,plausible
current_ehb_all_states,crosswalk_issuer_only,cent_threshold_zero,EHB-adjusted in all states where EHBPercentTotalPremium is available; missing EHB percent treated as 100% EHB.,all_metal_panel,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,Current primary Step 2 premium proxy.,plausible
current_ehb_all_states,plan_panel_issuer_only,cent_threshold_zero,EHB-adjusted in all states where EHBPercentTotalPremium is available; missing EHB percent treated as 100% EHB.,all_metal_panel,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,Current primary Step 2 premium proxy.,plausible
current_ehb_all_states,plan_id_prefix,cent_threshold_zero,EHB-adjusted in all states where EHBPercentTotalPremium is available; missing EHB percent treated as 100% EHB.,all_metal_panel,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,Current primary Step 2 premium proxy.,plausible
current_ehb_all_states,plan_panel_preferred,cent_threshold_zero,EHB-adjusted in all states where EHBPercentTotalPremium is available; missing EHB percent treated as 100% EHB.,silver_panel,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,Current primary Step 2 premium proxy.,plausible
current_ehb_all_states,crosswalk_issuer_only,cent_threshold_zero,EHB-adjusted in all states where EHBPercentTotalPremium is available; missing EHB percent treated as 100% EHB.,silver_panel,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,Current primary Step 2 premium proxy.,plausible
current_ehb_all_states,plan_panel_issuer_only,cent_threshold_zero,EHB-adjusted in all states where EHBPercentTotalPremium is available; missing EHB percent treated as 100% EHB.,silver_panel,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,Current primary Step 2 premium proxy.,plausible
current_ehb_all_states,plan_id_prefix,cent_threshold_zero,EHB-adjusted in all states where EHBPercentTotalPremium is available; missing EHB percent treated as 100% EHB.,silver_panel,4188,107,4088,28.064756,0.524394,-264,-104,-0.33524399999999943,-0.275606,1624,1258,1306,88,5,14,6477,Current primary Step 2 premium proxy.,plausible
gross_only,plan_panel_preferred,cent_threshold_zero,Gross plan premium minus gross SLCSP; no non-EHB residual.,all_metal_panel,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,Tests how much non-EHB adjustment drives treatment counts.,diagnostic_only
gross_only,crosswalk_issuer_only,cent_threshold_zero,Gross plan premium minus gross SLCSP; no non-EHB residual.,all_metal_panel,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,Tests how much non-EHB adjustment drives treatment counts.,diagnostic_only
gross_only,plan_panel_issuer_only,cent_threshold_zero,Gross plan premium minus gross SLCSP; no non-EHB residual.,all_metal_panel,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,Tests how much non-EHB adjustment drives treatment counts.,diagnostic_only
gross_only,plan_id_prefix,cent_threshold_zero,Gross plan premium minus gross SLCSP; no non-EHB residual.,all_metal_panel,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,Tests how much non-EHB adjustment drives treatment counts.,diagnostic_only
gross_only,plan_panel_preferred,cent_threshold_zero,Gross plan premium minus gross SLCSP; no non-EHB residual.,silver_panel,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,Tests how much non-EHB adjustment drives treatment counts.,diagnostic_only
gross_only,crosswalk_issuer_only,cent_threshold_zero,Gross plan premium minus gross SLCSP; no non-EHB residual.,silver_panel,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,Tests how much non-EHB adjustment drives treatment counts.,diagnostic_only
gross_only,plan_panel_issuer_only,cent_threshold_zero,Gross plan premium minus gross SLCSP; no non-EHB residual.,silver_panel,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,Tests how much non-EHB adjustment drives treatment counts.,diagnostic_only
gross_only,plan_id_prefix,cent_threshold_zero,Gross plan premium minus gross SLCSP; no non-EHB residual.,silver_panel,4626,123,4519,30.253534,1.192653,174,-88,1.8535339999999998,0.3926529999999999,1728,1503,1395,96,13,14,6477,Tests how much non-EHB adjustment drives treatment counts.,diagnostic_only
ehb_named_states_only,plan_panel_preferred,cent_threshold_zero,Apply non-EHB residual only in states specifically named in Supplement 1: IL and OR.,all_metal_panel,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,Supplement says non-EHB matters in a minority of states including Illinois and Oregon; it does not prove the list is exhaustive.,plausible
ehb_named_states_only,crosswalk_issuer_only,cent_threshold_zero,Apply non-EHB residual only in states specifically named in Supplement 1: IL and OR.,all_metal_panel,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,Supplement says non-EHB matters in a minority of states including Illinois and Oregon; it does not prove the list is exhaustive.,plausible
ehb_named_states_only,plan_panel_issuer_only,cent_threshold_zero,Apply non-EHB residual only in states specifically named in Supplement 1: IL and OR.,all_metal_panel,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,Supplement says non-EHB matters in a minority of states including Illinois and Oregon; it does not prove the list is exhaustive.,plausible
ehb_named_states_only,plan_id_prefix,cent_threshold_zero,Apply non-EHB residual only in states specifically named in Supplement 1: IL and OR.,all_metal_panel,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,Supplement says non-EHB matters in a minority of states including Illinois and Oregon; it does not prove the list is exhaustive.,plausible
ehb_named_states_only,plan_panel_preferred,cent_threshold_zero,Apply non-EHB residual only in states specifically named in Supplement 1: IL and OR.,silver_panel,4344,123,4237,29.269052,1.192653,-108,-88,0.8690519999999999,0.3926529999999999,1654,1390,1300,96,13,14,6477,Supplement says non-EHB matters in a minority of states including Illinois and Oregon; it does not prove the list is exhaustive.,plausible
