scope,year,rows,constructible_rows,enrollment,any_turnover_count,any_turnover_share_constructible,across_issuer_count,across_issuer_share_constructible,across_issuer_crosswalk_only_count,across_issuer_plan_panel_only_count,across_issuer_plan_id_prefix_count,within_only_count,lowest_turnover_count,second_lowest_turnover_count,both_lowest_and_second_count,lowest_across_count,second_lowest_across_count,notes,state,pooled
year,2022.0,2159,2159,9636366.0,1624,0.7522000926354794,88,0.04075961093098657,88,88,88,1536,1171,1545,1092,86,88,Debug decomposition for treatment-count mismatch; descriptive only.,,
state_year,2023.0,83,83,322273.0,27,0.3253012048192771,0,0.0,0,0,0,27,24,24,21,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MI,
state_year,2024.0,83,83,418100.0,32,0.3855421686746988,0,0.0,0,0,0,32,18,22,8,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MI,
state_year,2022.0,115,115,250341.0,89,0.7739130434782608,0,0.0,0,0,0,89,83,79,73,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MO,
state_year,2023.0,115,115,257629.0,74,0.6434782608695652,0,0.0,0,0,0,74,68,74,68,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MO,
state_year,2024.0,115,115,359369.0,40,0.34782608695652173,0,0.0,0,0,0,40,32,40,32,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MO,
state_year,2022.0,82,82,143014.0,82,1.0,0,0.0,0,0,0,82,82,82,82,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MS,
state_year,2023.0,82,82,183478.0,27,0.32926829268292684,0,0.0,0,0,0,27,27,27,27,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MS,
state_year,2024.0,82,82,286410.0,64,0.7804878048780488,0,0.0,0,0,0,64,4,60,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MS,
state_year,2022.0,56,56,51134.0,49,0.875,0,0.0,0,0,0,49,0,49,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MT,
state_year,2023.0,56,56,53860.0,56,1.0,0,0.0,0,0,0,56,0,56,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MT,
state_year,2024.0,56,56,66336.0,1,0.017857142857142856,0,0.0,0,0,0,1,1,1,1,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,MT,
state_year,2022.0,85,85,571027.0,85,1.0,0,0.0,0,0,0,85,63,80,58,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,NC,
state_year,2023.0,85,85,684479.0,53,0.6235294117647059,3,0.03529411764705882,3,3,3,50,31,45,23,0,3,Debug decomposition for treatment-count mismatch; descriptive only.,NC,
state_year,2024.0,85,85,877747.0,69,0.8117647058823529,0,0.0,0,0,0,69,56,59,46,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,NC,
state_year,2022.0,53,53,29873.0,37,0.6981132075471698,0,0.0,0,0,0,37,0,37,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,ND,
state_year,2023.0,53,53,34130.0,53,1.0,0,0.0,0,0,0,53,16,53,16,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,ND,
state_year,2024.0,53,53,38535.0,30,0.5660377358490566,0,0.0,0,0,0,30,14,16,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,ND,
state_year,2022.0,10,10,52497.0,10,1.0,0,0.0,0,0,0,10,10,10,10,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,NH,
state_year,2023.0,10,10,54557.0,10,1.0,0,0.0,0,0,0,10,0,10,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,NH,
state_year,2024.0,10,10,65117.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,NH,
state_year,2022.0,88,88,259999.0,76,0.8636363636363636,0,0.0,0,0,0,76,65,68,57,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OH,
state_year,2023.0,88,88,294644.0,70,0.7954545454545454,1,0.011363636363636364,1,1,1,69,65,69,64,1,1,Debug decomposition for treatment-count mismatch; descriptive only.,OH,
state_year,2024.0,88,88,477793.0,47,0.5340909090909091,0,0.0,0,0,0,47,38,36,27,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OH,
state_year,2022.0,77,77,189444.0,62,0.8051948051948052,0,0.0,0,0,0,62,29,61,28,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OK,
state_year,2023.0,77,77,203157.0,16,0.2077922077922078,0,0.0,0,0,0,16,16,16,16,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OK,
state_year,2024.0,77,77,277436.0,58,0.7532467532467533,0,0.0,0,0,0,58,36,50,28,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OK,
state_year,2022.0,36,36,146602.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OR,
state_year,2023.0,36,36,141963.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OR,
state_year,2024.0,36,36,145509.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,OR,
state_year,2022.0,46,46,300392.0,46,1.0,0,0.0,0,0,0,46,44,37,35,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,SC,
state_year,2023.0,46,46,382968.0,35,0.7608695652173914,1,0.021739130434782608,1,1,1,34,34,34,33,1,0,Debug decomposition for treatment-count mismatch; descriptive only.,SC,
state_year,2024.0,46,46,571175.0,46,1.0,0,0.0,0,0,0,46,46,23,23,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,SC,
state_year,2022.0,66,66,41339.0,66,1.0,0,0.0,0,0,0,66,16,66,16,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,SD,
state_year,2023.0,66,66,47591.0,66,1.0,0,0.0,0,0,0,66,42,40,16,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,SD,
state_year,2024.0,66,66,52974.0,50,0.7575757575757576,0,0.0,0,0,0,50,29,30,9,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,SD,
state_year,2022.0,95,95,273680.0,87,0.9157894736842105,0,0.0,0,0,0,87,71,87,71,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,TN,
state_year,2023.0,95,95,348097.0,17,0.17894736842105263,0,0.0,0,0,0,17,9,17,9,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,TN,
state_year,2024.0,95,95,555103.0,71,0.7473684210526316,0,0.0,0,0,0,71,54,63,46,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,TN,
state_year,2022.0,254,254,1840940.0,193,0.7598425196850394,0,0.0,0,0,0,193,131,188,126,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,TX,
state_year,2023.0,254,254,2410789.0,229,0.9015748031496063,0,0.0,0,0,0,229,168,220,159,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,TX,
state_year,2024.0,254,254,3484613.0,194,0.7637795275590551,3,0.011811023622047244,3,3,3,191,161,159,126,3,3,Debug decomposition for treatment-count mismatch; descriptive only.,TX,
state_year,2022.0,29,29,256932.0,10,0.3448275862068966,0,0.0,0,0,0,10,5,7,2,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,UT,
state_year,2023.0,29,29,295196.0,17,0.5862068965517241,0,0.0,0,0,0,17,2,17,2,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,UT,
state_year,2024.0,29,29,366939.0,13,0.4482758620689655,0,0.0,0,0,0,13,9,4,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,UT,
state_year,2022.0,72,72,212209.0,54,0.75,0,0.0,0,0,0,54,34,46,26,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WI,
state_year,2023.0,72,72,221128.0,36,0.5,0,0.0,0,0,0,36,22,26,12,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WI,
state_year,2024.0,72,72,266327.0,45,0.625,1,0.013888888888888888,1,1,1,44,20,39,14,1,1,Debug decomposition for treatment-count mismatch; descriptive only.,WI,
state_year,2022.0,55,55,23037.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WV,
state_year,2023.0,55,55,28325.0,9,0.16363636363636364,0,0.0,0,0,0,9,9,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WV,
state_year,2024.0,55,55,51046.0,1,0.01818181818181818,0,0.0,0,0,0,1,1,0,0,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WV,
state_year,2022.0,23,23,34762.0,23,1.0,0,0.0,0,0,0,23,22,23,22,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WY,
state_year,2023.0,23,23,38565.0,23,1.0,0,0.0,0,0,0,23,1,23,1,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WY,
state_year,2024.0,23,23,42293.0,23,1.0,0,0.0,0,0,0,23,23,23,23,0,0,Debug decomposition for treatment-count mismatch; descriptive only.,WY,
pooled,,6477,6477,37040900.0,4188,0.6465956461324688,107,0.016519993824301374,107,107,107,4081,2917,3801,2530,92,106,Debug decomposition for treatment-count mismatch; descriptive only.,,pooled
