scope,current_mapped_plan_rows,year,found_in_silver_panel,missing_from_silver_but_found_all_metal,missing_from_both,found_non_silver_in_all_metal,rank,state
state_year,166,2023.0,166,0,0,0,,MI
state_year,230,2023.0,230,0,0,0,,MO
state_year,164,2023.0,164,0,0,0,,MS
state_year,112,2023.0,112,0,0,0,,MT
state_year,200,2023.0,200,0,0,0,,NC
state_year,106,2023.0,106,0,0,0,,ND
state_year,186,2023.0,186,0,0,0,,NE
state_year,20,2023.0,20,0,0,0,,NH
state_year,176,2023.0,176,0,0,0,,OH
state_year,154,2023.0,154,0,0,0,,OK
state_year,72,2023.0,72,0,0,0,,OR
state_year,92,2023.0,92,0,0,0,,SC
state_year,132,2023.0,132,0,0,0,,SD
state_year,190,2023.0,190,0,0,0,,TN
state_year,508,2023.0,508,0,0,0,,TX
state_year,58,2023.0,58,0,0,0,,UT
state_year,266,2023.0,266,0,0,0,,VA
state_year,144,2023.0,144,0,0,0,,WI
state_year,110,2023.0,110,0,0,0,,WV
state_year,46,2023.0,46,0,0,0,,WY
state_year,60,2024.0,60,0,0,0,,AK
state_year,134,2024.0,134,0,0,0,,AL
state_year,150,2024.0,150,0,0,0,,AR
state_year,30,2024.0,30,0,0,0,,AZ
state_year,6,2024.0,6,0,0,0,,DE
state_year,134,2024.0,134,0,0,0,,FL
state_year,293,2024.0,293,0,0,0,,GA
state_year,10,2024.0,10,0,0,0,,HI
state_year,198,2024.0,198,0,0,0,,IA
state_year,204,2024.0,204,0,0,0,,IL
state_year,184,2024.0,184,0,0,0,,IN
state_year,210,2024.0,210,0,0,0,,KS
state_year,128,2024.0,128,0,0,0,,LA
state_year,166,2024.0,166,0,0,0,,MI
state_year,230,2024.0,230,0,0,0,,MO
state_year,164,2024.0,164,0,0,0,,MS
state_year,112,2024.0,112,0,0,0,,MT
state_year,171,2024.0,171,0,0,0,,NC
state_year,106,2024.0,106,0,0,0,,ND
state_year,186,2024.0,186,0,0,0,,NE
state_year,20,2024.0,20,0,0,0,,NH
state_year,176,2024.0,176,0,0,0,,OH
state_year,154,2024.0,154,0,0,0,,OK
state_year,72,2024.0,72,0,0,0,,OR
state_year,92,2024.0,92,0,0,0,,SC
state_year,132,2024.0,132,0,0,0,,SD
state_year,190,2024.0,190,0,0,0,,TN
state_year,508,2024.0,508,0,0,0,,TX
state_year,58,2024.0,58,0,0,0,,UT
state_year,144,2024.0,144,0,0,0,,WI
state_year,110,2024.0,110,0,0,0,,WV
state_year,46,2024.0,46,0,0,0,,WY
state_year_rank,28,2022.0,28,0,0,0,lowest,AK
state_year_rank,28,2022.0,28,0,0,0,second_lowest,AK
state_year_rank,67,2022.0,67,0,0,0,lowest,AL
state_year_rank,67,2022.0,67,0,0,0,second_lowest,AL
state_year_rank,75,2022.0,75,0,0,0,lowest,AR
state_year_rank,75,2022.0,75,0,0,0,second_lowest,AR
state_year_rank,15,2022.0,15,0,0,0,lowest,AZ
state_year_rank,15,2022.0,15,0,0,0,second_lowest,AZ
state_year_rank,3,2022.0,3,0,0,0,lowest,DE
state_year_rank,3,2022.0,3,0,0,0,second_lowest,DE
state_year_rank,67,2022.0,67,0,0,0,lowest,FL
state_year_rank,67,2022.0,67,0,0,0,second_lowest,FL
state_year_rank,159,2022.0,159,0,0,0,lowest,GA
state_year_rank,159,2022.0,159,0,0,0,second_lowest,GA
state_year_rank,5,2022.0,5,0,0,0,lowest,HI
state_year_rank,5,2022.0,5,0,0,0,second_lowest,HI
state_year_rank,99,2022.0,99,0,0,0,lowest,IA
state_year_rank,99,2022.0,99,0,0,0,second_lowest,IA
state_year_rank,102,2022.0,102,0,0,0,lowest,IL
state_year_rank,102,2022.0,102,0,0,0,second_lowest,IL
state_year_rank,92,2022.0,92,0,0,0,lowest,IN
state_year_rank,92,2022.0,92,0,0,0,second_lowest,IN
state_year_rank,105,2022.0,105,0,0,0,lowest,KS
state_year_rank,105,2022.0,105,0,0,0,second_lowest,KS
