year,measure,measure_label,our_value,drake_value,difference,absolute_difference,percent_difference,weighting_used,denominator_used,closest_to_drake_table1,likely_reason_for_difference
2022,overall_reenrollment_pct_enrollment,Overall reenrollment as percent of enrollment,77.75951644166457,76.7,1.0595164416645702,1.0595164416645702,1.381377368532686,unweighted_county_mean,enrollment,False,Alternative weighting retained for diagnosis; not expected to match Drake's weighted table most closely.
2022,overall_reenrollment_pct_enrollment,Overall reenrollment as percent of enrollment,76.67928181859133,76.7,-0.0207181814086681,0.0207181814086681,-0.0270119705458515,Cnsmr_weighted_mean,enrollment,True,Close to Drake anchor under the closest weighting.
2022,overall_reenrollment_pct_enrollment,Overall reenrollment as percent of enrollment,76.8613151486327,76.7,0.16131514863269558,0.16131514863269558,0.2103196201208547,Tot_Renrl_weighted_mean,enrollment,False,Alternative weighting retained for diagnosis; not expected to match Drake's weighted table most closely.
2022,automatic_pct_enrollment,Automatic/passive reenrollment as percent of enrollment,25.467403068344257,21.2,4.267403068344258,4.267403068344258,20.129259756340844,unweighted_county_mean,enrollment,False,Alternative weighting retained for diagnosis; not expected to match Drake's weighted table most closely.
2022,automatic_pct_enrollment,Automatic/passive reenrollment as percent of enrollment,21.280808876851275,21.2,0.08080887685127536,0.08080887685127536,0.3811739474116762,Cnsmr_weighted_mean,enrollment,True,Close to Drake anchor under the closest weighting.
2022,automatic_pct_enrollment,Automatic/passive reenrollment as percent of enrollment,21.342187053357545,21.2,0.14218705335754578,0.14218705335754578,0.6706936479129518,Tot_Renrl_weighted_mean,enrollment,False,Alternative weighting retained for diagnosis; not expected to match Drake's weighted table most closely.
2022,active_pct_enrollment,Active reenrollment as percent of enrollment,52.31175565885251,55.4,-3.0882443411474867,3.0882443411474867,-5.574448269219291,unweighted_county_mean,enrollment,False,Alternative weighting retained for diagnosis; not expected to match Drake's weighted table most closely.
2022,active_pct_enrollment,Active reenrollment as percent of enrollment,55.398553756026104,55.4,-0.0014462439738949229,0.0014462439738949229,-0.002610548689341016,Cnsmr_weighted_mean,enrollment,True,Close to Drake anchor under the closest weighting.
2022,active_pct_enrollment,Active reenrollment as percent of enrollment,55.51912761658153,55.4,0.1191276165815296,0.1191276165815296,0.21503179888362742,Tot_Renrl_weighted_mean,enrollment,False,Alternative weighting retained for diagnosis; not expected to match Drake's weighted table most closely.
2022,active_stay_pct_enrollment,Active stay with previous/crosswalked plan as percent of enrollment,30.300918795157628,24.0,6.300918795157628,6.300918795157628,26.253828313156784,unweighted_county_mean,enrollment,False,Alternative weighting retained for diagnosis; not expected to match Drake's weighted table most closely.
