year,state,default_mapping_rule,premium_variant,selected_across_count,raw_candidate_across_count,zero_to_positive_across_candidate_count,selected_same_but_across_candidate_exists_count,selected_nonturnover_but_turnover_candidate_exists_count,reason8_candidate_count,reason8_zero_to_positive_count,level3_zip_candidate_count,level3_zip_zero_to_positive_count,county_any_zip_across_count,current_rule_selected_across_count,difference_vs_current_rule,difference_vs_drake_anchor_if_available
2022,AK,county_any_zip_across_turnover,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,county_any_zip_across_turnover,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AK,county_any_zip_turnover,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,county_any_zip_turnover,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AK,current_repo_rule,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,current_repo_rule,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AK,exclude_level4_5,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,exclude_level4_5,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AK,include_level4_5_as_missing_current,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,include_level4_5_as_missing_current,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AK,lowest_crosswalk_level,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,lowest_crosswalk_level,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AK,no_same_issuer_priority,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,no_same_issuer_priority,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AK,reason8_priority,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,reason8_priority,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AK,same_plan_if_available_else_lowest_level,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,same_plan_if_available_else_lowest_level,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AK,same_plan_if_available_else_source_order,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,same_plan_if_available_else_source_order,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AK,source_order_first_valid,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,source_order_first_valid,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AK,whole_county_00000_only,current_ehb_all_states,0,0,0,0,13,0,0,0,0,0,0,0,
2022,AK,whole_county_00000_only,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,county_any_zip_across_turnover,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,county_any_zip_across_turnover,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,county_any_zip_turnover,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,county_any_zip_turnover,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,current_repo_rule,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,current_repo_rule,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,exclude_level4_5,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,exclude_level4_5,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,include_level4_5_as_missing_current,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,include_level4_5_as_missing_current,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,lowest_crosswalk_level,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,lowest_crosswalk_level,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,no_same_issuer_priority,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,no_same_issuer_priority,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,reason8_priority,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,reason8_priority,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,same_plan_if_available_else_lowest_level,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,same_plan_if_available_else_lowest_level,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,same_plan_if_available_else_source_order,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,same_plan_if_available_else_source_order,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,source_order_first_valid,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,source_order_first_valid,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,whole_county_00000_only,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AL,whole_county_00000_only,ehb_named_states_only,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AR,county_any_zip_across_turnover,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AR,county_any_zip_across_turnover,ehb_named_states_only,0,0,0,0,75,0,0,0,0,0,0,0,
2022,AR,county_any_zip_turnover,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AR,county_any_zip_turnover,ehb_named_states_only,0,0,0,0,75,0,0,0,0,0,0,0,
2022,AR,current_repo_rule,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AR,current_repo_rule,ehb_named_states_only,0,0,0,0,75,0,0,0,0,0,0,0,
2022,AR,exclude_level4_5,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AR,exclude_level4_5,ehb_named_states_only,0,0,0,0,75,0,0,0,0,0,0,0,
2022,AR,include_level4_5_as_missing_current,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AR,include_level4_5_as_missing_current,ehb_named_states_only,0,0,0,0,75,0,0,0,0,0,0,0,
2022,AR,lowest_crosswalk_level,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AR,lowest_crosswalk_level,ehb_named_states_only,0,0,0,0,75,0,0,0,0,0,0,0,
2022,AR,no_same_issuer_priority,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AR,no_same_issuer_priority,ehb_named_states_only,0,0,0,0,75,0,0,0,0,0,0,0,
2022,AR,reason8_priority,current_ehb_all_states,0,0,0,0,0,0,0,0,0,0,0,0,
2022,AR,reason8_priority,ehb_named_states_only,0,0,0,0,75,0,0,0,0,0,0,0,
