year,state,rank,premium_variant,default_mapping_rule,turnover_failure_reason,plan_pair_rows,turnover_rows,non_turnover_rows
2022,AK,second_lowest,current_ehb_all_states,reason8_priority,both_positive,56,0,56
2022,AK,second_lowest,current_ehb_all_states,reason8_priority,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,both_positive,56,0,56
2022,AK,second_lowest,current_ehb_all_states,same_plan_if_available_else_lowest_level,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,both_positive,56,0,56
2022,AK,second_lowest,current_ehb_all_states,same_plan_if_available_else_source_order,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,current_ehb_all_states,source_order_first_valid,both_positive,56,0,56
2022,AK,second_lowest,current_ehb_all_states,source_order_first_valid,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,current_ehb_all_states,whole_county_00000_only,both_positive,56,0,56
2022,AK,second_lowest,current_ehb_all_states,whole_county_00000_only,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,county_any_zip_across_turnover,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,county_any_zip_across_turnover,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,county_any_zip_across_turnover,turnover,6,6,0
2022,AK,second_lowest,ehb_named_states_only,county_any_zip_turnover,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,county_any_zip_turnover,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,county_any_zip_turnover,turnover,6,6,0
2022,AK,second_lowest,ehb_named_states_only,current_repo_rule,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,current_repo_rule,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,current_repo_rule,turnover,6,6,0
2022,AK,second_lowest,ehb_named_states_only,exclude_level4_5,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,exclude_level4_5,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,exclude_level4_5,turnover,6,6,0
2022,AK,second_lowest,ehb_named_states_only,include_level4_5_as_missing_current,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,include_level4_5_as_missing_current,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,include_level4_5_as_missing_current,turnover,6,6,0
2022,AK,second_lowest,ehb_named_states_only,lowest_crosswalk_level,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,lowest_crosswalk_level,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,lowest_crosswalk_level,turnover,6,6,0
2022,AK,second_lowest,ehb_named_states_only,no_same_issuer_priority,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,no_same_issuer_priority,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,no_same_issuer_priority,turnover,6,6,0
2022,AK,second_lowest,ehb_named_states_only,reason8_priority,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,reason8_priority,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,reason8_priority,turnover,6,6,0
2022,AK,second_lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,same_plan_if_available_else_lowest_level,turnover,6,6,0
2022,AK,second_lowest,ehb_named_states_only,same_plan_if_available_else_source_order,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,same_plan_if_available_else_source_order,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,same_plan_if_available_else_source_order,turnover,6,6,0
2022,AK,second_lowest,ehb_named_states_only,source_order_first_valid,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,source_order_first_valid,no_valid_crosswalk,2,0,2
2022,AK,second_lowest,ehb_named_states_only,source_order_first_valid,turnover,6,6,0
2022,AK,second_lowest,ehb_named_states_only,whole_county_00000_only,both_zero,50,0,50
2022,AK,second_lowest,ehb_named_states_only,whole_county_00000_only,no_valid_crosswalk,2,0,2
