project,dataset_path,variable,rank,value,count_in_profile,profile_basis,profile_rows
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,age_40_premium,1,428.81,150,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,age_40_premium,2,549.16,150,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,age_40_premium,3,416.89,150,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,age_40_premium,4,399.75,77,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,age_40_premium,5,424.7,76,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,age_40_premium,6,438.48,76,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,age_40_premium,7,409.78,76,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,age_40_premium,8,498.76,76,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,age_40_premium,9,574.75,76,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,age_40_premium,10,360.63,75,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_fips,1,12117,180,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_fips,2,12011,136,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_fips,3,12009,131,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_fips,4,12127,129,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_fips,5,12095,127,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_fips,6,12097,127,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_fips,7,12099,127,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_fips,8,12086,126,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_fips,9,12019,124,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_fips,10,12069,123,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_name,1,Clay,181,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_name,2,Seminole,180,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_name,3,Marion,144,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_name,4,Broward,136,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_name,5,Brevard,131,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_name,6,Volusia,129,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_name,7,Osceola,127,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_name,8,Orange,127,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_name,9,Palm Beach,127,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,county_name,10,Miami-Dade,126,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,data_quality_notes,1,PY2021 direct QHP Landscape from official Data.HealthCare.gov dataset jzae-njub.,10000,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_age_40_premium,1,428.81,150,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_age_40_premium,2,416.89,150,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_age_40_premium,3,549.16,150,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_age_40_premium,4,409.78,76,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_age_40_premium,5,498.76,76,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_age_40_premium,6,425.2,75,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_age_40_premium,7,424.7,75,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_age_40_premium,8,393.65032,75,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_age_40_premium,9,386.74,75,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_age_40_premium,10,393.61,75,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_missing_flag,1,False,10000,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium,1,100.0,7054,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium,2,96.21,756,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium,3,95.9,675,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium,4,99.26,525,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium,5,96.11,236,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium,6,99.88,179,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium,7,95.44,91,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium,8,99.8,58,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium,9,99.16,42,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium,10,99.08,30,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium_raw,1,100.00%,7054,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium_raw,2,96.21%,756,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium_raw,3,95.90%,675,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium_raw,4,99.26%,525,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium_raw,5,96.11%,236,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium_raw,6,99.88%,179,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium_raw,7,95.44%,91,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium_raw,8,99.80%,58,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium_raw,9,99.16%,42,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_percent_total_premium_raw,10,99.08%,30,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_premium_component_source,1,QHP Landscape EHB Percent of Total Premium,10000,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_share_of_total_premium,1,1.0,7054,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_share_of_total_premium,2,0.9621,756,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_share_of_total_premium,3,0.959,675,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_share_of_total_premium,4,0.9926,525,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_share_of_total_premium,5,0.9611,236,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_share_of_total_premium,6,0.9988,179,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_share_of_total_premium,7,0.9544,91,first_10000_rows,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,ehb_share_of_total_premium,8,0.998,58,first_10000_rows,10000
