project,dataset_path,variable,dtype,row_count,profile_basis,profile_rows,nonmissing_in_profile,missing_in_profile,unique_in_profile,min,p25,median,p75,max,mean,std,top_value,top_value_count
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,rate_puf_age_40_premium,float64,446800,first_10000_rows,10000,10000,0,5155,200.29,409.78,473.95000000000005,559.805,1257.4,501.533182,134.13983256372023,428.81,150
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,rating_area_id,object,446800,first_10000_rows,10000,10000,0,67,,,,,,,,Rating Area 3,934
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,raw_plan_id_columns_used,object,446800,first_10000_rows,10000,10000,0,1,,,,,,,,Plan ID (Standard Component),10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,service_area_id,float64,446800,first_10000_rows,10000,0,10000,0,,,,,,,,,
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,source_file,object,446800,first_10000_rows,10000,10000,0,1,,,,,,,,data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,10000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,standard_component_id,object,446800,first_10000_rows,10000,10000,0,751,,,,,,,,62141AR0080017,75
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,state,object,446800,first_10000_rows,10000,10000,0,7,,,,,,,,FL,5000
aca_zero_premium_turnover,data/intermediate/all_metal_plan_county_year_panel.csv,year,int64,446800,first_10000_rows,10000,10000,0,1,2021,2021.0,2021.0,2021.0,2021,2021.0,0.0,2021,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,age_40_premium,float64,159643,first_10000_rows,10000,10000,0,2643,222.88,356.17,400.96,458.21,710.24,413.974427,80.80458477081402,369.51,75
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,county_fips,int64,159643,first_10000_rows,10000,10000,0,1126,1001,12127.0,18044.0,21021.5,29049,16872.7218,6155.588015257853,12117,62
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,county_name,object,159643,first_10000_rows,10000,10000,0,736,,,,,,,,Clay,114
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,data_quality_notes,object,159643,first_10000_rows,10000,10000,0,1,,,,,,,,PY2021 direct QHP Landscape from official Data.HealthCare.gov dataset jzae-njub.,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,ehb_age_40_premium,float64,159643,first_10000_rows,10000,10000,0,2708,222.88,351.7,398.65,453.40032,710.24,411.1004299776,81.66758324917191,322.06,75
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,ehb_percent_missing_flag,bool,159643,first_10000_rows,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,ehb_percent_total_premium,float64,159643,first_10000_rows,10000,10000,0,50,91.39,99.76,100.0,100.0,100.0,99.26030700000001,1.6201681981356213,100.0,7053
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,ehb_percent_total_premium_raw,object,159643,first_10000_rows,10000,10000,0,50,,,,,,,,100.00%,7053
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,ehb_premium_component_source,object,159643,first_10000_rows,10000,10000,0,1,,,,,,,,QHP Landscape EHB Percent of Total Premium,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,ehb_share_of_total_premium,float64,159643,first_10000_rows,10000,10000,0,50,0.9139,0.9976,1.0,1.0,1.0,0.9926030699999999,0.016201681981356214,1.0,7053
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,issuer_id,int64,159643,first_10000_rows,10000,10000,0,77,12379,29698.0,49046.0,70893.0,99723,51392.0206,25438.21792127107,70893,596
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,issuer_id_rate,int64,159643,first_10000_rows,10000,10000,0,77,12379,29698.0,49046.0,70893.0,99723,51392.0206,25438.21792127107,70893,596
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,issuer_name,object,159643,first_10000_rows,10000,10000,0,58,,,,,,,,Medica,1008
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,likely_reason_for_difference,float64,159643,first_10000_rows,10000,0,10000,0,,,,,,,,,
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,market_type,object,159643,first_10000_rows,10000,10000,0,1,,,,,,,,Individual,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,metal_filter_used,object,159643,first_10000_rows,10000,10000,0,1,,,,,,,,bronze,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,metal_level,object,159643,first_10000_rows,10000,10000,0,2,,,,,,,,Expanded Bronze,8172
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,non_ehb_age_40_premium,float64,159643,first_10000_rows,10000,10000,0,595,0.0,0.0,0.0,1.0612199999999916,35.03359999999998,2.8739970223999993,6.177794795530782,0.0,7053
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,plan_id,object,159643,first_10000_rows,10000,10000,0,550,,,,,,,,70893GA0010015,114
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,plan_marketing_name,object,159643,first_10000_rows,10000,10000,0,311,,,,,,,,Ambetter Essential Care 1 (2021),525
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,plan_type,object,159643,first_10000_rows,10000,10000,0,4,,,,,,,,HMO,4616
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,premium_difference,float64,159643,first_10000_rows,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,premium_match_flag,bool,159643,first_10000_rows,10000,10000,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,premium_pct_difference,float64,159643,first_10000_rows,10000,10000,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,premium_reconciliation_flag,object,159643,first_10000_rows,10000,10000,0,1,,,,,,,,match,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,premium_source,object,159643,first_10000_rows,10000,10000,0,1,,,,,,,,QHP Landscape,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,qhp_landscape_premium,float64,159643,first_10000_rows,10000,10000,0,2643,222.88,356.17,400.96,458.21,710.24,413.974427,80.80458477081402,369.51,75
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,rate_puf_age_40_premium,float64,159643,first_10000_rows,10000,10000,0,2643,222.88,356.17,400.96,458.21,710.24,413.974427,80.80458477081402,369.51,75
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,rating_area_id,object,159643,first_10000_rows,10000,10000,0,67,,,,,,,,Rating Area 3,1082
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,raw_plan_id_columns_used,object,159643,first_10000_rows,10000,10000,0,1,,,,,,,,Plan ID (Standard Component),10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,service_area_id,float64,159643,first_10000_rows,10000,0,10000,0,,,,,,,,,
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,source_file,object,159643,first_10000_rows,10000,10000,0,1,,,,,,,,data\raw\qhp_landscape\2021\PY2021_Medi-Indi-Land-08_04_2021.zip,10000
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,standard_component_id,object,159643,first_10000_rows,10000,10000,0,550,,,,,,,,70893GA0010015,114
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,state,object,159643,first_10000_rows,10000,10000,0,17,,,,,,,,FL,1685
aca_zero_premium_turnover,data/intermediate/bronze_plan_county_year_panel.csv,year,int64,159643,first_10000_rows,10000,10000,0,1,2021,2021.0,2021.0,2021.0,2021,2021.0,0.0,2021,10000
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,transition,object,30722,full_file,30722,30722,0,1,,,,,,,,2021_to_2022,30722
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,previous_year,int64,30722,full_file,30722,30722,0,1,2021,2021.0,2021.0,2021.0,2021,2021.0,0.0,2021,30722
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,current_year,int64,30722,full_file,30722,30722,0,1,2022,2022.0,2022.0,2022.0,2022,2022.0,0.0,2022,30722
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,state,object,30722,full_file,30722,30722,0,33,,,,,,,,TX,3823
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,county_fips,int64,30722,full_file,30722,30722,0,2449,1001,18041.0,30027.0,47084.5,56045,31143.618742269384,15424.411298844809,12117,70
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,zip_code,int64,30722,full_file,30722,30722,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,30722
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,previous_plan_id,object,30722,full_file,30722,30722,0,1323,,,,,,,,33602TX0770181,177
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,previous_issuer_id,int64,30722,full_file,30722,30722,0,171,10091,29418.0,52664.0,76179.0,99969,53212.64976238526,26052.464021863198,29418,2622
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,previous_plan_id_raw,object,30722,full_file,30722,30722,0,1323,,,,,,,,33602TX0770181,177
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,previous_metal_level,object,30722,full_file,30722,30722,0,1,,,,,,,,Silver,30722
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,current_plan_id,object,30722,full_file,30722,30722,0,1134,,,,,,,,76179IN0130011,276
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,current_issuer_id,int64,30722,full_file,30722,30722,0,171,10091,29418.0,49046.0,75841.0,99969,51893.32930798776,25718.461941585458,29418,2622
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,current_plan_id_raw,object,30722,full_file,30722,30722,0,1134,,,,,,,,76179IN0130011,276
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,current_metal_level,object,30722,full_file,30722,30722,0,1,,,,,,,,Silver,30722
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,crosswalk_level,int64,30722,full_file,30722,30722,0,3,0,0.0,0.0,1.0,2,0.4759455764598659,0.7044831208734393,0,19892
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,crosswalk_level_num,int64,30722,full_file,30722,30722,0,3,0,0.0,0.0,1.0,2,0.4759455764598659,0.7044831208734393,0,19892
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,crosswalk_reason_or_type,int64,30722,full_file,30722,30722,0,6,0,0.0,0.0,2.0,8,0.7201028578868564,1.3837817298084751,0,21544
aca_zero_premium_turnover,data/intermediate/crosswalk_transition_2021_2022.csv,same_issuer_flag,bool,30722,full_file,30722,30722,0,2,0.0,1.0,1.0,1.0,1.0,0.9619165418918039,0.191400890206644,True,29552
