variable,importance
EDUCYR,0.164989124635453
chronic_count,0.150780053305197
YEAR,0.131517655632645
RTHLTH42,0.122435563316315
REGION,0.0830868980205621
MNHLTH42,0.0808670678015036
MARRY,0.0745878746140874
POVCAT,0.0737289702403215
EMPST42,0.0728237905712358
SEX,0.0274870295154233
post_aca,0.0153300595272624
HISPANX,0.00236591281999339
