variable,coef,se,pval
SEX,0.0252116875302448,0.0102114256242314,0.0135503170952899
HISPANX,0.00702391536838531,0.00741036544887817,0.343205789325638
MARRY,-0.0215436575529138,0.0249822493709746,0.388490215896137
POVCAT,0.07520872637485,0.0285232890017236,0.00837049791228944
EMPST42,0.0698455756189116,0.0340405003406749,0.0401854561092849
REGION,-0.00231703701924868,0.0222062812507061,0.916898333810066
