outcome,spec,frd_coef,frd_se,frd_pval
TOTSLF,BW=60 (main),-289.136686799699,72.8414386844515,7.20543356259057e-05
TOTSLF,BW=30 (narrow),-140.830718915602,168.610966857834,0.403582275195008
TOTSLF,BW=90 (wide),-259.192853297101,52.3597107461038,7.41240647753794e-07
TOTSLF,Donut ±2mo,-338.361367135723,65.724383602227,2.6301728597664e-07
y_dlayca42,BW=60 (main),0.00227377437267367,0.00794622436045688,0.774766873708183
y_dlayca42,BW=30 (narrow),0.0181102382193377,0.019760077410887,0.359401330802577
y_dlayca42,BW=90 (wide),-0.00451982836250082,0.00548002502731198,0.409495123056185
y_dlayca42,Donut ±2mo,-0.00133470004391853,0.00736236201242104,0.856142360444791
OBTOTV,BW=60 (main),0.655971447174485,0.512725017398146,0.200762370939104
OBTOTV,BW=30 (narrow),1.11911870467216,1.27778003313304,0.381122195335113
OBTOTV,BW=90 (wide),0.826806021442678,0.354153868181575,0.0195645626764763
OBTOTV,Donut ±2mo,0.70601356682874,0.463896202548115,0.128028771600097
cat_oop10,BW=60 (main),-0.0101304326116335,0.0118477585695213,0.392523157523948
cat_oop10,BW=30 (narrow),0.031060078697943,0.0295621396144194,0.293409783203625
cat_oop10,BW=90 (wide),-0.01486642450942,0.00817348111893008,0.068932667743547
cat_oop10,Donut ±2mo,-0.0208021266945062,0.0106640011113521,0.0510943090674252
