source_group,year,file_type,source_page_url,direct_download_url,local_path,file_format,http_status,download_success,file_size_bytes,checksum_sha256,date_downloaded,notes
oep_puf,2021,Public Use Files Definitions PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2021-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2021-public-use-files-definitions.pdf,data\raw\oep_puf\2021\2021-public-use-files-definitions.pdf,pdf,200,True,598745,fc5e2d4d2b6714b20f8f7647b6fc4504e901c0d62ae068dd7a180c6f20c93b6e,2026-05-26T16:38:29+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2021,Public Use Files FAQs PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2021-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2021-public-use-files-faqs.pdf,data\raw\oep_puf\2021\2021-public-use-files-faqs.pdf,pdf,200,True,777767,f7a960e7115105954b10ba1866acfdbddf1540c8e09b82baecdb343832bc596e,2026-05-26T16:38:31+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2022,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2022-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2022-oep-state-level-public-use-file.zip,data\raw\oep_puf\2022\2022-oep-state-level-public-use-file.zip,zip,200,True,224915,3320838bbb87b547efed0677b63302e2e783d70730dd1a732d69972b73890230,2026-05-26T16:38:34+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2022,"State, Metal Level, and Enrollment Status OEP PUF",https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2022-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2022-oep-state-metal-level-and-enrollment-status-public-use-file.zip,data\raw\oep_puf\2022\2022-oep-state-metal-level-and-enrollment-status-public-use-file.zip,zip,200,True,265910,5db6ff06ec11f526075b28adbc87eceff1bc3a81b299996c29517149855c3cd6,2026-05-26T16:38:38+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2022,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2022-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2022-oep-county-level-public-use-file.zip,data\raw\oep_puf\2022\2022-oep-county-level-public-use-file.zip,zip,200,True,1771025,02f8c41e014e49bf72273e9a0736da9df5c64f84920a8103b31b9fef6e8c1972,2026-05-26T16:38:40+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2022,Public Use Files Definitions PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2022-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2022-public-use-files-definitions.pdf,data\raw\oep_puf\2022\2022-public-use-files-definitions.pdf,pdf,200,True,266716,165070b1ef5131229648216508e6f40a2c44048fbbe99b3bdba5ee7a22860b36,2026-05-26T16:38:42+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2022,Public Use Files FAQs PDF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2022-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/document/2022-public-use-files-faqs.pdf,data\raw\oep_puf\2022\2022-public-use-files-faqs.pdf,pdf,200,True,309365,5cafa99fda445e27303cc3d7088624d0d40920da2d389366c644c1090baca0d5,2026-05-26T16:38:45+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2023,State-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2023-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2023-oep-state-level-public-use-file.zip,data\raw\oep_puf\2023\2023-oep-state-level-public-use-file.zip,zip,200,True,94804,74f3bad07363886f0a87c839309d98140cbaf3dd033d88545fdcd5b2ccb9e11f,2026-05-26T16:38:47+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2023,"State, Metal Level, and Enrollment Status OEP PUF",https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2023-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2023-oep-state-metal-level-and-enrollment-status-public-use-file.zip,data\raw\oep_puf\2023\2023-oep-state-metal-level-and-enrollment-status-public-use-file.zip,zip,200,True,151697,4a0e767b02d825289b9c220976b5863d37ebf87da08871ee0f2fb4745ce9df89,2026-05-26T16:38:49+00:00,Discovered from official CMS OEP PUF page.
oep_puf,2023,County-Level OEP PUF,https://www.cms.gov/data-research/statistics-trends-reports/marketplace-products/2023-marketplace-open-enrollment-period-public-use-files,https://www.cms.gov/files/zip/2023-oep-county-level-public-use-file.zip,data\raw\oep_puf\2023\2023-oep-county-level-public-use-file.zip,zip,200,True,1793906,4421d25d1c6dbb26757c1f307d1a1fd46e47a8de9086b218ed5e68b6e76e855a,2026-05-26T16:38:51+00:00,Discovered from official CMS OEP PUF page.
