variable,source,year,notes
active_reenrollment_rate,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
active_switch_rate_among_active,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
active_stay_rate_among_active,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
new_consumer_share,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
total_reenrollment_share,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
log_Cnsmr,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
log_Tot_Renrl,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
log_Auto_Renrl,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
log_Actv_Renrl,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
log_Actv_Renrl_Nsw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
log_Actv_Renrl_Sw,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
raw_file_name,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
source_year,CMS OEP County-Level PUF,2022,Harmonized in Step 2 build.
