state_name,state_abbr,state_fips,cms_reporting_year,cms_reporting_month,sipp_month_same,sipp_month_plus1,renewals_due,renewed_total,ex_parte_renewed,form_renewed,ineligible_terminations,procedural_terminations,pending_renewals,renewal_success_rate_due,termination_rate_due,procedural_burden_due,procedural_share_terminations,ex_parte_rate_due,ex_parte_rate_renewed,form_rate_due,form_rate_renewed,pending_rate_due,completion_rate_due,burden_index_simple,metric5_identity_gap,metric5_identity_gap_rate,metric5a_identity_gap,metric5a_identity_gap_rate
Alaska,AK,02,2023,3,3,4,,,,,,,,,,,,,,,,,,,,,,
Alaska,AK,02,2023,4,4,5,,,,,,,,,,,,,,,,,,,,,,
Alaska,AK,02,2023,5,5,6,6539.0,2413.0,1193.0,1220.0,1195.0,1936.0,995.0,0.3690166692154764,0.47881939134424223,0.29606973543355253,0.6183328010220377,0.18244379874598562,0.49440530460008286,0.18657287046949075,0.5055946953999171,0.1521639394402814,0.8478360605597186,1.918058373315351,0.0,0.0,0.0,0.0
Alaska,AK,02,2023,6,6,7,7530.0,3032.0,1867.0,1165.0,1424.0,2174.0,900.0,0.40265604249667997,0.4778220451527224,0.2887118193891102,0.6042245692051139,0.24794156706507303,0.6157651715039578,0.1547144754316069,0.38423482849604224,0.11952191235059761,0.8804780876494024,0.9512724753239955,0.0,0.0,0.0,0.0
Alaska,AK,02,2023,7,7,8,14250.0,5632.0,4011.0,1621.0,1859.0,5740.0,1019.0,0.3952280701754386,0.5332631578947369,0.40280701754385967,0.7553625477036452,0.2814736842105263,0.7121803977272727,0.11375438596491227,0.2878196022727273,0.07150877192982456,0.9284912280701755,0.7915127313270736,0.0,0.0,0.0,0.0
Alaska,AK,02,2023,8,8,9,19995.0,7911.0,5634.0,2277.0,2382.0,8170.0,1532.0,0.39564891222805704,0.5277319329832458,0.40860215053763443,0.7742608036391205,0.28177044261065265,0.7121729237770194,0.11387846961740435,0.28782707622298065,0.07661915478869717,0.9233808452113028,0.8925161904237389,0.0,0.0,0.0,0.0
Alaska,AK,02,2023,9,9,10,12884.0,5693.0,3055.0,2638.0,1872.0,782.0,4537.0,0.44186588016144057,0.2059919279726793,0.060695436199937905,0.2946495855312736,0.23711580254579323,0.5366239241173371,0.2047500776156473,0.46337607588266294,0.35214219186588014,0.6478578081341199,2.353914980284252,0.0,0.0,0.0,0.0
Alaska,AK,02,2023,10,10,11,11813.0,6051.0,3232.0,2819.0,1554.0,777.0,3431.0,0.512232286464065,0.19732498095318718,0.06577499365106239,0.3333333333333333,0.27359688478794547,0.5341265906461742,0.23863540167611952,0.4658734093538258,0.29044273258274783,0.7095572674172522,1.7416809376445,0.0,0.0,0.0,0.0
Alaska,AK,02,2023,11,11,12,10778.0,5596.0,2956.0,2640.0,1326.0,755.0,3101.0,0.519205789571349,0.1930784932269438,0.07005010205975135,0.3628063431042768,0.2742623863425496,0.5282344531808435,0.2449434032287994,0.47176554681915656,0.2877157172017072,0.7122842827982928,1.7825455089806583,0.0,0.0,0.0,0.0
Alaska,AK,02,2023,12,12,13,12717.0,6966.0,3288.0,3678.0,1761.0,796.0,3194.0,0.5477707006369427,0.20106943461508217,0.06259337894157427,0.3113023073914744,0.258551545175749,0.4720068906115418,0.2892191554611937,0.5279931093884582,0.25115986474797514,0.7488401352520249,1.6906122818949259,0.0,0.0,0.0,0.0
Alabama,AL,01,2023,3,3,4,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL,01,2023,4,4,5,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL,01,2023,5,5,6,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL,01,2023,6,6,7,127533.0,89847.0,46181.0,43666.0,6980.0,30569.0,137.0,0.7045000117616617,0.2944257564708742,0.23969482408474668,0.8141095635036885,0.36211019892890467,0.5139960154484846,0.342389812832757,0.48600398455151533,0.0010742317674641074,0.9989257682325359,-0.013123675532240833,0.0,0.0,0.0,0.0
Alabama,AL,01,2023,7,7,8,131852.0,85745.0,43267.0,42478.0,5624.0,40474.0,9.0,0.6503124715590207,0.34961927009070776,0.3069653854321512,0.8779990455117359,0.32814822679974515,0.5046008513615954,0.3221642447592756,0.49539914863840456,6.825835027151655e-05,0.9999317416497285,0.4924565666362949,0.0,0.0,0.0,0.0
Alabama,AL,01,2023,8,8,9,117961.0,78989.0,38653.0,40336.0,4678.0,34286.0,8.0,0.6696196200439128,0.3303125609311552,0.29065538610218633,0.879940457858536,0.3276760963369249,0.48934661788350275,0.3419435237069879,0.5106533821164972,6.781902493196904e-05,0.9999321809750681,0.5125968389061765,0.0,0.0,0.0,0.0
Alabama,AL,01,2023,9,9,10,107242.0,71311.0,38415.0,32896.0,4568.0,31350.0,13.0,0.6649540292049757,0.3349247496316742,0.29232949777139555,0.8728214265827718,0.3582085376997818,0.5386966947595743,0.30674549150519387,0.46130330524042573,0.00012122116335017996,0.9998787788366498,0.13353045955427814,0.0,0.0,0.0,0.0
